Species;Common name;Order;Family;Status;Status_code;Sizemin;Sizemax;Migratory status;migrant_code;Population trend;Trend_code;Extent of occurrence (km2);Generation length (yrs);SSI_Diet;SSI_Habitat;Neartic;Paleartic;Afrotropical;Neotropical;Indomalayan;Australasian;Oceanic
Elaenia strepera;Slaty Elaenia;Passeriformes;Tyrannidae;Least Concern;1;15.5;15.5;full migrant;3;Decreasing;1;257000;4.6;1.58113883;3.033150178;0;0;0;1;0;0;0
Elanoides forficatus;Swallow-tailed Kite;Accipitriformes;Accipitridae;Least Concern;1;52;66;full migrant;3;Increasing;3;39400000;7.6;1.58113883;3.4278273;1;0;0;1;0;0;0
Elanus axillaris;Black-shouldered Kite;Accipitriformes;Accipitridae;Least Concern;1;33;37;nomadic;4;Increasing;3;10000000;6.6;1.914854216;3.4278273;0;0;0;0;0;1;1
Elanus caeruleus;Black-winged Kite;Accipitriformes;Accipitridae;Least Concern;1;30;37;not a migrant;1;Stable;2;97800000;6.6;1.914854216;2.507132682;0;1;1;0;1;1;1
Elanus leucurus;White-tailed Kite;Accipitriformes;Accipitridae;Least Concern;1;35;43;full migrant;3;Increasing;3;42700000;6.6;3.605551275;2.160246899;1;0;0;1;0;0;0
Elanus scriptus;Letter-winged Kite;Accipitriformes;Accipitridae;Near Threatened;2;34;37;nomadic;4;Stable;2;2050000;6.6;1.914854216;4.949747468;0;0;0;0;0;1;1
Elaphrornis palliseri;Sri Lanka Warbler;Passeriformes;Locustellidae;Near Threatened;2;15;16;not a migrant;1;Decreasing;1;6000;3.5;2.449489743;4;0;0;0;0;1;0;0
Electron carinatum;Keel-billed Motmot;Coraciiformes;Momotidae;Vulnerable;3;30.5;38;not a migrant;1;Decreasing;1;277000;3.6;1.58113883;4;0;0;0;1;0;0;0
Electron platyrhynchum;Broad-billed Motmot;Coraciiformes;Momotidae;Least Concern;1;31;39;not a migrant;1;Decreasing;1;7900000;3.6;1.58113883;4;0;0;0;1;0;0;0
Eleothreptus anomalus;Sickle-winged Nightjar;Caprimulgiformes;Caprimulgidae;Near Threatened;2;18;20;full migrant;3;Decreasing;1;3180000;5.4;2.449489743;2.738612788;0;0;0;1;0;0;0
Eleothreptus candicans;White-winged Nightjar;Caprimulgiformes;Caprimulgidae;Endangered;4;19;23;not a migrant;1;Decreasing;1;3100;5.4;2.449489743;7.071067812;0;0;0;1;0;0;0
Elminia albicauda;White-tailed Blue-flycatcher;Stenostiridae;Passeriformes;Least Concern;1;14;14;not a migrant;1;Stable;2;3360000;3.6;2.449489743;3.033150178;0;0;1;0;0;0;0
Elminia albiventris;White-bellied Crested-flycatcher;Passeriformes;Stenostiridae;Least Concern;1;11;11;not a migrant;1;Stable;2;1720000;3.6;2.449489743;4;0;0;1;0;0;0;0
Elminia albonotata;White-tailed Crested-flycatcher;Passeriformes;Stenostiridae;Least Concern;1;13;13;not a migrant;1;Stable;2;2300000;3.6;2.449489743;3.4278273;0;0;1;0;0;0;0
Elminia longicauda;African Blue-flycatcher;Stenostiridae;Passeriformes;Least Concern;1;15;18;not a migrant;1;Stable;2;8760000;3.6;2.449489743;2.024845673;0;0;1;0;0;0;0
Elminia nigromitrata;Dusky Crested-flycatcher;Passeriformes;Stenostiridae;Least Concern;1;11;13;not a migrant;1;Decreasing;1;5140000;3.6;2.449489743;2.738612788;0;0;1;0;0;0;0
Elseyornis melanops;Black-fronted Dotterel;Charadriiformes;Charadriidae;Least Concern;1;16;18;not a migrant;1;Increasing;3;15400000;6.7;1.58113883;2.318404624;0;0;0;0;0;1;1
Emarginata schlegelii;Karoo Chat;Passeriformes;Muscicapidae;Least Concern;1;15;18;not a migrant;1;Stable;2;1990000;3.8;1.58113883;3.4278273;0;0;1;0;0;0;0
Emarginata sinuata;Sickle-winged Chat;Passeriformes;Muscicapidae;Least Concern;1;15;15;not a migrant;1;Stable;2;978000;3.8;1.58113883;3.4278273;0;0;1;0;0;0;0
Emarginata tractrac;Tractrac Chat;Passeriformes;Muscicapidae;Least Concern;1;14;15;not a migrant;1;Stable;2;1830000;3.8;2.449489743;4;0;0;1;0;0;0;0
Emberiza affinis;Brown-rumped Bunting;Passeriformes;Emberizidae;Least Concern;1;13;15;not a migrant;1;Stable;2;6130000;3.6;1.58113883;4;0;0;1;0;0;0;0
Emberiza aureola;Yellow-breasted Bunting;Passeriformes;Emberizidae;Critically Endangered;5;14;15.5;full migrant;3;Decreasing;1;21800000;3.6;1.154700538;3.033150178;1;1;0;0;1;0;0
Emberiza bruniceps;Red-headed Bunting;Passeriformes;Emberizidae;Least Concern;1;15;16.5;full migrant;3;Stable;2;5780000;3.6;1.58113883;4;0;1;0;0;1;0;0
Emberiza buchanani;Grey-necked Bunting;Passeriformes;Emberizidae;Least Concern;1;15;17;full migrant;3;Stable;2;8360000;3.6;1.154700538;4;0;1;0;0;1;0;0
Emberiza cabanisi;Cabanis's Bunting;Passeriformes;Emberizidae;Least Concern;1;16;17;not a migrant;1;Stable;2;12200000;3.6;1.58113883;3.4278273;0;0;1;0;0;0;0
Emberiza caesia;Cretzschmar's Bunting;Passeriformes;Emberizidae;Least Concern;1;16;16;full migrant;3;Stable;2;1380000;3.6;1.58113883;3.4278273;0;1;1;0;0;0;0
Emberiza calandra;Corn Bunting;Passeriformes;Emberizidae;Least Concern;1;17;19;full migrant;3;Decreasing;1;23700000;4.4;1.58113883;4;0;1;0;0;0;0;0
Emberiza capensis;Cape Bunting;Passeriformes;Emberizidae;Least Concern;1;15;16;not a migrant;1;Stable;2;4740000;3.6;1.154700538;4;0;0;1;0;0;0;0
Emberiza chrysophrys;Yellow-browed Bunting;Passeriformes;Emberizidae;Least Concern;1;13;15;full migrant;3;Stable;2;2500000;3.6;1.154700538;7.071067812;0;1;0;0;1;0;0
Emberiza cia;Rock Bunting;Passeriformes;Emberizidae;Least Concern;1;15;16.5;full migrant;3;Increasing;3;20900000;3.6;1.58113883;3.4278273;0;1;0;0;1;0;0
Emberiza cineracea;Cinereous Bunting;Passeriformes;Emberizidae;Near Threatened;2;16.5;18;full migrant;3;Decreasing;1;506000;3.6;1.58113883;3.4278273;0;1;1;0;0;0;0
Emberiza cioides;Meadow Bunting;Passeriformes;Emberizidae;Least Concern;1;17;17;not a migrant;1;Stable;2;16200000;3.6;1.58113883;4;0;1;0;0;1;0;0
Emberiza cirlus;Cirl Bunting;Passeriformes;Emberizidae;Least Concern;1;15;16.5;not a migrant;1;Increasing;3;6330000;3.6;1.58113883;3.4278273;0;1;0;0;0;0;0
Emberiza citrinella;Yellowhammer;Passeriformes;Emberizidae;Least Concern;1;16;16.5;full migrant;3;Decreasing;1;21600000;3.7;1.58113883;3.033150178;0;1;0;0;1;0;0
Emberiza elegans;Yellow-throated Bunting;Passeriformes;Emberizidae;Least Concern;1;15;16;not a migrant;1;Stable;2;6030000;3.6;1.58113883;3.4278273;0;1;0;0;1;0;0
Emberiza flaviventris;Golden-breasted Bunting;Passeriformes;Emberizidae;Least Concern;1;15;16;not a migrant;1;Stable;2;21300000;3.6;1.154700538;4;0;0;1;0;0;0;0
Emberiza fucata;Chestnut-eared Bunting;Passeriformes;Emberizidae;Least Concern;1;16;16;full migrant;3;Stable;2;15600000;3.6;1.58113883;3.4278273;0;1;0;0;1;0;0
Emberiza godlewskii;Godlewski's Bunting;Passeriformes;Emberizidae;Least Concern;1;17;17;not a migrant;1;Stable;2;12300000;3.6;1.58113883;4;0;1;0;0;1;0;0
Emberiza goslingi;Grey-throated Bunting;Passeriformes;Emberizidae;Least Concern;1;13;15;not a migrant;1;Stable;2;6640000;3.6;1.58113883;3.033150178;0;1;0;1;0;0;0
Emberiza hortulana;Ortolan Bunting;Passeriformes;Emberizidae;Least Concern;1;16;17;full migrant;3;Decreasing;1;20200000;3.6;1.58113883;3.033150178;0;1;1;0;0;0;0
Emberiza impetuani;Lark-like Bunting;Passeriformes;Emberizidae;Least Concern;1;12;14;nomadic;4;Stable;2;3860000;3.6;1.58113883;4;0;0;1;0;0;0;0
Emberiza jankowskii;Jankowski's Bunting;Passeriformes;Emberizidae;Endangered;4;16;16;not a migrant;1;Decreasing;1;10600;3.6;1.58113883;4.949747468;0;1;0;0;0;0;0
Emberiza koslowi;Tibetan Bunting;Passeriformes;Emberizidae;Near Threatened;2;16;16;not a migrant;1;Stable;2;211000;3.6;1.58113883;4;0;1;0;0;0;0;0
Emberiza lathami;Crested Bunting;Passeriformes;Emberizidae;Least Concern;1;16;16;altitudinal migrant;2;Stable;2;8170000;3.8;1.58113883;2.738612788;0;1;0;0;1;0;0
Emberiza leucocephalos;Pine Bunting;Passeriformes;Emberizidae;Least Concern;1;16;17.5;full migrant;3;Stable;2;18900000;3.6;1.58113883;4;1;1;0;0;1;0;0
Emberiza pallasi;Pallas’s Bunting;Passeriformes;Emberizidae;Least Concern;1;12;13.5;full migrant;3;Stable;2;11900000;3.6;1.58113883;2.507132682;1;1;0;0;1;0;0
Emberiza personata;Masked Bunting;Passeriformes;Emberizidae;Least Concern;1;13.5;16;full migrant;3;Stable;2;569000;3.6;1.58113883;3.033150178;0;1;0;0;0;0;0
Emberiza poliopleura;Somali Bunting;Passeriformes;Emberizidae;Least Concern;1;14;15;not a migrant;1;Stable;2;1950000;3.6;1.154700538;4;0;0;1;0;0;0;0
Emberiza pusilla;Little Bunting;Passeriformes;Emberizidae;Least Concern;1;12;13.5;full migrant;3;Stable;2;18200000;3.6;1.58113883;3.4278273;1;1;0;0;1;0;0
Emberiza rustica;Rustic Bunting;Passeriformes;Emberizidae;Vulnerable;3;13;14.5;full migrant;3;Decreasing;1;17400000;3.6;1.58113883;3.033150178;1;1;0;0;1;0;0
Emberiza rutila;Chestnut Bunting;Passeriformes;Emberizidae;Least Concern;1;14;15;full migrant;3;Stable;2;5340000;3.6;1.58113883;4;0;1;0;0;1;0;0
Emberiza sahari;House Bunting;Passeriformes;Emberizidae;Least Concern;1;13;14;not a migrant;1;Increasing;3;6490000;3.6;0.866025404;3.4278273;0;1;0;0;0;0;0
Emberiza schoeniclus;Reed Bunting;Passeriformes;Emberizidae;Least Concern;1;14;16.5;full migrant;3;Decreasing;1;42700000;3.6;1.154700538;2.507132682;1;1;0;0;1;0;0
Emberiza siemsseni;Slaty Bunting;Passeriformes;Emberizidae;Least Concern;1;13;13;altitudinal migrant;2;Stable;2;613000;3.8;1.58113883;7.071067812;0;1;0;0;0;0;0
Emberiza socotrana;Socotra Bunting;Passeriformes;Emberizidae;Near Threatened;2;13;14;not a migrant;1;Stable;2;1400;3.6;2.449489743;4;0;0;1;0;0;0;0
Emberiza spodocephala;Black-faced Bunting;Passeriformes;Emberizidae;Least Concern;1;13.5;16;full migrant;3;Stable;2;10600000;3.6;1.58113883;3.033150178;0;1;0;0;1;0;0
Emberiza stewarti;White-capped Bunting;Passeriformes;Emberizidae;Least Concern;1;15;15;full migrant;3;Stable;2;948000;3.6;1.154700538;3.4278273;0;1;0;0;1;0;0
Emberiza striolata;Striolated Bunting;Passeriformes;Emberizidae;Least Concern;1;12;13;not a migrant;1;Increasing;3;12100000;3.6;0.866025404;3.4278273;0;1;1;0;1;0;0
Emberiza sulphurata;Yellow Bunting;Passeriformes;Emberizidae;Vulnerable;3;13;14;full migrant;3;Decreasing;1;232000;3.6;1.58113883;3.4278273;0;1;0;0;1;0;0
Emberiza tahapisi;Cinnamon-breasted Bunting;Passeriformes;Emberizidae;Least Concern;1;13;15;not a migrant;1;Stable;2;17200000;3.6;0.866025404;3.033150178;0;0;1;0;0;0;0
Emberiza tristrami;Tristram’s Bunting;Passeriformes;Emberizidae;Least Concern;1;14;15;full migrant;3;Stable;2;766000;3.6;1.58113883;4.949747468;0;1;0;0;1;0;0
Emberiza variabilis;Grey Bunting;Passeriformes;Emberizidae;Least Concern;1;14;17;full migrant;3;Stable;2;1810000;3.6;1.154700538;4;1;1;0;0;0;0;0
Emberiza yessoensis;Ochre-rumped Bunting;Passeriformes;Emberizidae;Near Threatened;2;14;15;full migrant;3;Decreasing;1;1420000;3.6;1.154700538;3.4278273;0;1;0;0;0;0;0
Emberizoides herbicola;Wedge-tailed Grass-finch;Passeriformes;Thraupidae;Least Concern;1;20;20.3;not a migrant;1;Decreasing;1;14100000;3.8;1.58113883;3.033150178;0;0;0;1;0;0;0
Embernagra longicauda;Pale-throated Pampa-finch;Passeriformes;Thraupidae;Least Concern;1;21.5;21.5;not a migrant;1;Decreasing;1;192000;3.8;1.154700538;3.4278273;0;0;0;1;0;0;0
Eminia lepida;Grey-capped Warbler;Passeriformes;Cisticolidae;Least Concern;1;15;15;not a migrant;1;Stable;2;1000000;4.3;2.449489743;3.033150178;0;0;1;0;0;0;0
Empidonax affinis;Pine Flycatcher;Passeriformes;Tyrannidae;Least Concern;1;13;14.5;not a migrant;1;Stable;2;1180000;3.7;2.449489743;4.949747468;0;0;0;1;0;0;0
Empidonax albigularis;White-throated Flycatcher;Passeriformes;Tyrannidae;Least Concern;1;12;14;full migrant;3;Stable;2;1500000;3.7;1.58113883;4;0;0;0;1;0;0;0
Empidonax alnorum;Alder Flycatcher;Passeriformes;Tyrannidae;Least Concern;1;13;17;full migrant;3;Stable;2;12900000;3.8;1.58113883;3.4278273;1;0;0;1;0;0;0
Empidonax atriceps;Black-capped Flycatcher;Passeriformes;Tyrannidae;Least Concern;1;11.5;11.5;altitudinal migrant;2;Decreasing;1;10700;3.7;2.449489743;3.4278273;0;0;0;1;0;0;0
