scientificName,Article,Article_secondary_same_data,Study_type,Fishy_Study_Type,Sample_size_nests_monitored,Hypothesis_supported,Percent_nests_or_individuals_predated,Predator_and_prey_data,Experiment_control_site_or_spatial_variation,Experiment_sample_size,Experiment_confounding_variables_included,Experiment_sites_randomly_selected_REMOVE,Experiment_BACI,Study_location,Latitude,Longitude,Study_notes,Study_rodent,orig_study_ID
Pterodroma brevipes,"Tennyson, A.J., Miskelly, C.M. and Totterman, S.L., 2012. Observations of collared petrels (Pterodroma brevipes) on Vanua Lava, Vanuatu, and a review of the species’ breeding distribution. Notornis, 59, pp.39-48.","",Predation,,"",0,"",0,"","",,"","",Vanua Lava,-13.8443,167.4472,"""""Cats (Felis catus), pigs (Sus scrofa) and rats are present on Vanua Lava (authors, pers. obs.) and while these predators may well be a threat to the collared petrel population, we found no direct evidence of predation on this species""""","Rattus exulans, Rattus rattus",97
Pterodroma phaeopygia,"Riofrío-Lazo, M. and Páez-Rosas, D., 2015. Feeding habits of introduced black rats, Rattus rattus, in nesting colonies of Galapagos Petrel on San Cristóbal Island, Galapagos. PLoS One, 10(5), p.e0127901.","",Predation,,"",0,"",0,"","",,"","",San Cristóbal Island,-0.8675,-89.4364,"""""There was no evidence of petrel’s intake""""…""""The diet of black rats was 98% plant material...and only 2% arthropods"""" """"rats might not consume petrel as a complementary prey even when their preferred food is not so available in their habitat"""" (Table 2)",Rattus rattus,98
Pterodroma phaeopygia,"Riofrío-Lazo, M. and Páez-Rosas, D., 2015. Feeding habits of introduced black rats, Rattus rattus, in nesting colonies of Galapagos Petrel on San Cristóbal Island, Galapagos. PLoS One, 10(5), p.e0127901.","",Predation,,"",0,"",0,"","",,"","",San Cristóbal Island,-0.8675,-89.4364,"""""There was no evidence of petrel’s intake"""" """"In our study, Miconia seeds were the second most common food item found in the Norwegian rats’ stomachs"""" """"rats might not consume petrel as a complementary prey even when their preferred food is not so available in their habitat"""" (Table 2)",Rattus norvegicus,99
Pterodroma phaeopygia,"Cruz-Delgado, F., Gonzalez, J.A. and Wiedenfeld, D.A., 2010. Breeding biology of the Critically Endangered Gálapagos Petrel Pterodroma phaeopygia on San Cristóbal Island: conservation and management implications. Bird Conservation International, 20(3), pp.306-319.","",Predation,,53,1,49%,0,"","",,"","",San Cristóbal Island,-0.8675,-89.4364,"""""Overall reproductive success in 53 monitored nests, estimated using the Mayfield method, was 23.6%, being 63.8% for eggs and 37.1% for chicks (Table 2). Rat predation caused the loss of a total of 10 eggs and 16 chicks, and was the main cause of reproductive failure (72.2%). All the chicks predated by rats were less than 21 days old, indicating that the first three weeks after hatching are probably when they are most vulnerable. No losses could be attributed to rat predation after that age.""""",Rattus,100
Pterodroma externa,BirdLife International. 2018. Pterodroma externa. The IUCN Red List of Threatened Species 2018: e.T22698030A132620783. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22698030A132620783.en. Accessed on 30 December 2023.,"",Predation,,"",1,"",0,"","",,"","",Unknown,,,"""""Brown rats Rattus norvegicus also prey on chicks, though the incidence appears low and restricted to certain habitat types (J. C. Torres-Mura in litt. 1999, P. Hodum in litt. 2007).""""",Rattus norvegicus,101
Pterodroma externa,BirdLife International. 2018. Pterodroma externa. The IUCN Red List of Threatened Species 2018: e.T22698030A132620783. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22698030A132620783.en. Accessed on 30 December 2023.,"",Predation,,"",1,"",0,"","",,"","",Unknown,,,"""""There is also limited evidence of predation on chicks by House Mice Mus musculus, but this does not appear to be widespread (Hodum 2009)"""" (Reference not in English)",Mus musculus,102
Pterodroma madeira,BirdLife International. 2018. Pterodroma madeira. The IUCN Red List of Threatened Species 2018: e.T22698062A132622973. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22698062A132622973.en. Accessed on 30 December 2023.,"",Predation,,"",1,"",0,"","",,"","",Unknown,,,"""""Predation of eggs and chicks by introduced House Rats Rattus rattus is a known source of reproductive failure.""""",Rattus rattus,103
Pterodroma caribbaea,BirdLife International. 2018. Pterodroma caribbaea. The IUCN Red List of Threatened Species 2018: e.T22698097A132625182. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22698097A132625182.en. Accessed on 30 December 2023.,"",Predation,,"",1,"",0,"","",,"","",John Crow Mountains,18.0835,-76.4017,"""""predation by introduced rats (which took eggs)""""",Rattus,104
Bulweria fallax,"BirdLife International. 2018. Bulweria fallax. The IUCN Red List of Threatened Species 2018: e.T22698136A132628433. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22698136A132628433.en. Accessed on 30 December 2023.
","",Timing,,"",0,"",0,"","",,"","",Socotran,12.4634,53.8237,"""""Non-native predators (e.g. rats Rattus spp. and Feral Cats Felis catus) are probably a limiting factor on the species’ breeding population size (Al-Saghier et al. 2000), although their impact on the Socotran subpopulation may have stabilised long ago, given the long period (over 2,000 years) of coexistence.""""",Rattus,105
Procellaria aequinoctialis,"Jones, H.P., Towns, D.R., Bodey, T., Miskelly, C.M., Ellis, J.C., Rauzon, M.J., Kress, S.W. and McKown, M., 2011. Recovery and restoration on seabird islands. Seabird islands: ecology, invasion, and restoration, pp.317-357.","",Timing,,"",1,"",0,"","",,"","",Campbell Island,-52.5372,169.1445,"""""on Campbell Island, following the removal of Norway rats in 2001, white-chinned petrels (Procellaria aequinoctialis) and gray-backed storm petrels (Garrodia nereis) naturally recolonized within eight years from remnant populations on rock stacks and islets within 1–2 km of the main island.""""",Rattus norvegicus,106
Procellaria aequinoctialis,"Jouventin, P., Bried, J. and Micol, T., 2003. Insular bird populations can be saved from rats: a long-term experimental study of white-chinned petrels Procellaria aequinoctialis on Ile de la Possession (Crozet archipelago). Polar Biology, 26, pp.371-378.","",Lethal control (temporal),,"",0,"",1,0,1,0,0,0,Ile de la Possession,-46.4269,51.7378,"Figure 1 - breeding success increased, number of breeding pairs decreased without obvious connection to poison baiting activities (low, high or none). Data on rat abundance is provided for 2 years without comparison to petrel numbers.",Rattus rattus,107
Procellaria aequinoctialis,"Jouventin, P., Bried, J. and Micol, T., 2003. Insular bird populations can be saved from rats: a long-term experimental study of white-chinned petrels Procellaria aequinoctialis on Ile de la Possession (Crozet archipelago). Polar Biology, 26, pp.371-378.","",Lethal control (spatial),,"",0,"",1,1,1,0,0,0,Ile de la Possession,-46.4269,51.7378,"Figure 1 - breeding success was higher in poisoned colony in 2 of 3 years (Table 3), but the number of breeding pairs was higher in non-poisoned colony in 1 of 3 years and appears similar in other 2 - no stats were provided. Data on rat abundance is provided for 2 years without comparison to petrel numbers.",Rattus rattus,108
Calonectris leucomelas,"Hart, K.A., Choi, C.Y., Bond, A.L., Humphries, G.R., Yoo, J.C. and Nam, K.B., 2015. Streaked Shearwaters Calonectris leucomelas of the Korean Peninsula: distribution, status and potential threats. Forktail, 31, pp.55-63.","",Predation,,"",1,"",0,"","",,"","",Ulleung Island,37.5064,130.8572,"""""the connection to Ulleung Island has led to the arrival of Black Rattus rattus and Brown Rats R. norvegicus, and in September 2014, during a reconnaissance of the island, we found the carcass of an adult Streaked Shearwater in a forested area—probably the result of rat predation""""... """"Non-native Brown Rats Rattus norvegicus are present and are known to reduce Streaked Shearwater breeding success (Nam et al. 2014)."""" Reference not in English",Rattus,109
Calonectris leucomelas,"Lee, K.G. and Yoo, J.C., 2002. Breeding population of Streaked Shearwaters (Calonectris leucomelas) and the effect of Norway Rat (Rattus norvegicus) predation on Sasudo Island. Journal of the Yamashina Institute for Ornithology, 33(2), pp.142-147.","",Predation,,54,1,48%,0,"","",,"","",Sasudo Island,33.3846,126.5535,"""""In 1999, 31 out of 54 burrows with eggs or chicks failed breeding and 83.9% of failures were caused by Norway Rat predation (Table 2).""""",Rattus,110
Calonectris leucomelas,"Oka, N., Suginome, H., Jida, N. and Maruyama, N., 2002. Chick growth and fledgling performance of Streaked Shearwaters Calonectris leucomelas on Mikura Island for two breeding seasons. Journal of the Yamashina Institute for Ornithology, 34(1), pp.39-59.","",Predation,,"",1,"",0,"","",,"","",Mikura Island,33.8751,139.6044,"""""Among the 22 chicks lost, 12 (54.5%) were presumed to have been killed by feral cats or rats, judging from the bite marks on the carcasses that were indicative of killing rather than scavenging.""""",Rattus,111
Ardenna creatopus,BirdLife International. 2018. Ardenna creatopus. The IUCN Red List of Threatened Species 2018: e.T22698195A132633266. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22698195A132633266.en. Accessed on 31 December 2023.,"",Predation,,"",0,"",0,"","",,"","",Isla Mocha or Robinson Crusoe,-33.6414,-78.8461,"""""Stable isotope analyses of rat tissue suggest they are feeding at lower, terrestrial trophic levels, and no evidence has been found of eggs or chicks consumed by rats in burrows (P. Hodum in litt. 2017).""""",Rattus,112
Puffinus yelkouan,"Bourgeois, K. and Vidal, E., 2008. The endemic Mediterranean yelkouan shearwater Puffinus yelkouan: distribution, threats and a plea for more data. Oryx, 42(2), pp.187-194.","",Predation,,"",1,"",0,"","",,"","",Tavolara Island,40.9062,9.7133,"""""Breeding success was zero because of ship rat predation on the Tavolara islands in 2006 and on Montecristo Island in some years (Italy, N. Baccetti, G. Spano & M. Putzu, pers. comm.).",Rattus rattus,113
Puffinus yelkouan,"Bourgeois, K. and Vidal, E., 2008. The endemic Mediterranean yelkouan shearwater Puffinus yelkouan: distribution, threats and a plea for more data. Oryx, 42(2), pp.187-194.","",Predation,,"",1,"",0,"","",,"","",Montecristo,42.3357,10.3105,"""""Breeding success was zero because of ship rat predation on the Tavolara islands in 2006 and on Montecristo Island in some years (Italy, N. Baccetti, G. Spano & M. Putzu, pers. comm.).""""",Rattus rattus,114
Puffinus yelkouan,"Bourgeois, K. and Vidal, E., 2008. The endemic Mediterranean yelkouan shearwater Puffinus yelkouan: distribution, threats and a plea for more data. Oryx, 42(2), pp.187-194.","",Predation,,"",1,"",0,"","",,"","",Malta,35.9375,14.3754,"""""Rats are also the main cause of breeding failure in the largest Maltese colony (J.J. Borg, pers. comm.).",Rattus rattus,115
Puffinus yelkouan,"Bourgeois, K., Ouni, R., Pascal, M., Dromzée, S., Fourcy, D. and Abiadh, A., 2013. Dramatic increase in the Zembretta Yelkouan shearwater breeding population following ship rat eradication spurs interest in managing a 1500-year old invasion. Biological Invasions, 15, pp.475-482.","",Temporal,,"",1,"",1,"",1,0,"",0,Zembretta Island,37.107,10.8744,"""""For 2 years before and 3 years after rat eradication, the Zembretta Yelkouan shearwater breeding colony was checked yearly at the end of the breeding season. The number of recorded breeding pairs reaching 176 and 145, respectively, increases of 10.4 and 8.5-fold two and 3 years after rat eradication.",Rattus rattus,116
Puffinus yelkouan,"Bourgeois, K., Ouni, R., Pascal, M., Dromzée, S., Fourcy, D. and Abiadh, A., 2013. Dramatic increase in the Zembretta Yelkouan shearwater breeding population following ship rat eradication spurs interest in managing a 1500-year old invasion. Biological Invasions, 15, pp.475-482.","",Timing,,"",0,"",0,"","",,"","",Zembretta Island,37.107,10.8744,"""""Vigne (1988; Supplementary material) found evidence that the ship rat invaded Zembra Island at least by 500 years AD.""""",Rattus rattus,117
Puffinus yelkouan,"Bonnaud, E., Zarzoso‐Lacoste, D., Bourgeois, K., Ruffino, L., Legrand, J. and Vidal, E., 2010. Top‐predator control on islands boosts endemic prey but not mesopredator. Animal Conservation, 13(6), pp.556-567.","",Predation,,"",0,"",0,"","",,"","",Port-Cros Island,43.0036,6.3944,"""""Despite the significant increase in the frequency of visits of shearwater breeding cavities by rats, maybe due to the extent of rat home ranges following the high decrease of cat predation, no breeding failure could be attributed to rat predation (no rat teeth or claw marks were observed on eggs).""""",Rattus rattus,118
Puffinus yelkouan,"Ruffino, L., Bourgeois, K., Vidal, E., Icard, J., Torre, F. and Legrand, J., 2008. Introduced predators and cavity-nesting seabirds: unexpected low level of interaction at breeding sites. Canadian Journal of Zoology, 86(9), pp.1068-1073.","",Predation,,25,0,0,0,"","",,"","",Port-Cros Island,43.0036,6.3944,"""""Very few rat visits were recorded at the shearwater-occupied cavities and no predation event was recorded. These intriguing results reveal a low level of interaction between introduced black rats and yelkouan shearwaters, which may have facilitated their long-term coexistence for thousands of years on some Mediterranean islands.""""",Rattus rattus,119
Puffinus yelkouan,"Ruffino, L., Bourgeois, K., Vidal, E., Icard, J., Torre, F. and Legrand, J., 2008. Introduced predators and cavity-nesting seabirds: unexpected low level of interaction at breeding sites. Canadian Journal of Zoology, 86(9), pp.1068-1073.","",Spatiotemporal,,"",0,"",1,0,60,0,1,0,Port-Cros Island,43.0036,6.3944,"""""Very few rat visits were recorded at the shearwater-occupied cavities and no predation event was recorded. These intriguing results reveal a low level of interaction between introduced black rats and yelkouan shearwaters, which may have facilitated their long-term coexistence for thousands of years on some Mediterranean islands.""""",Rattus rattus,120
Puffinus yelkouan,"Ruffino, L., Bourgeois, K., Vidal, E., Icard, J., Torre, F. and Legrand, J., 2008. Introduced predators and cavity-nesting seabirds: unexpected low level of interaction at breeding sites. Canadian Journal of Zoology, 86(9), pp.1068-1073.","",Timing,,"",0,"",0,"","",,"","",Mediterranean islands,34.5531,18.048,"""""Very few rat visits were recorded at the shearwater-occupied cavities and no predation event was recorded. These intriguing results reveal a low level of interaction between introduced black rats and yelkouan shearwaters, which may have facilitated their long-term coexistence for thousands of years on some Mediterranean islands.""""",Rattus rattus,121
Puffinus yelkouan,"Martin, J.L., Thibault, J.C. and Bretagnolle, V., 2000. Black rats, island characteristics, and colonial nesting birds in the Mediterranean: consequences of an ancient introduction. Conservation Biology, 14(5), pp.1452-1466.","",Spatial,,"",0,"",1,1,15,1,1,0,Cabrera Islands,39.1407,2.9451,"""""We did not detect significant effects of rats on the Medi- terranean Shearwater""""",Rattus rattus,122
Diomedea exulans,"Connan, M., Jones, C.W., Risi, M.M., Smyth, L.K., Oppel, S., Perold, V., Stevens, K.L., Daling, R. and Ryan, P.G., 2023. First evidence of mouse predation killing adult great albatrosses. Biological Invasions, pp.1-7.","",Predation,,"",1,"",0,"","",,"","",Marion Island,-46.9125,37.743611,"""""On Gough Island, three Tristan Albatrosses Diomedea dabbenena (Critically Endangered) brooding small chicks were observed with wounds typical of mouse attacks in March–April 2021; two likely abandoned their chick, causing breeding failure, and the third was found dead eight days after discovery with large blowfly larvae in the wound. On Marion Island, two wounded and eight dead adult Wandering Albatrosses D. exulans (Vulnerable) were found in April 2023. Inspection of the wounded individuals, as well as the injuries on the fresh carcasses strongly suggest that mouse predation was the cause of death.""""",Mus musculus,123
Diomedea exulans,"Dilley, B.J., Schoombie, S., Schoombie, J. and Ryan, P.G., 2016. ‘Scalping’of albatross fledglings by introduced mice spreads rapidly at Marion Island. Antarctic Science, 28(2), pp.73-80.","",Predation,,553,1,0.5%,0,"","",,"","",Marion Island,-46.9125,37.743611,"""""The first mouse-injured wandering albatross (Diomedea exulans L.) chick was found in 2003 and since then attacks have continued at a low level affecting <1% of the population"""" """"Remote cameras...confirmed that mice were responsible for wounds on [two] chicks"""" """"The survey of chicks outside study colonies in June 2015 inspected 553 chicks (~ 70% of chicks outside study colonies), of which three (0.5%) had mouse wounds""""",Mus musculus,124
Diomedea exulans,"Dilley, B.J., Schoombie, S., Schoombie, J. and Ryan, P.G., 2016. ‘Scalping’of albatross fledglings by introduced mice spreads rapidly at Marion Island. Antarctic Science, 28(2), pp.73-80.","",Predation,,268,1,0.56%,0,"","",,"","",Marion Island,-46.9125,37.743611,"""""Since 2003, 21 wandering albatross chicks have been found with mouse wounds in the three study colonies (average 1.5 ± 1.6 per year, range 0–6, 268± 44 nests) monitored per year; Fig. 4)""""",Mus musculus,125
Diomedea exulans,"Jones, M.G.W. and Ryan, P.G., 2010. Evidence of mouse attacks on albatross chicks on sub-Antarctic Marion Island. Antarctic Science, 22(1), pp.39-42.","",Predation,,1098,1,0.18%,0,"","",,"","",Marion Island,-46.9125,37.743611,"""""We summarize evidence for mouse attacks on albatross chicks at sub-Antarctic Marion Island, where mice are also the only introduced mammal following the eradication of feral cats Felis catus in the early 1990s. Wounds consistent with mouse attacks have been found on wandering albatrosses Diomedea exulans since 2003 and dark-mantled sooty albatrosses Phoebetria fusca in 2009."""" Data in Table 1",Mus musculus,126
Phoebastria immutabilis,"Work, T.M., Duhr, M. and Flint, B., 2021. Pathology of house mouse (Mus musculus) predation on Laysan albatross (Phoebastria immutabilis) on Midway Atoll National Wildlife Refuge. The Journal of Wildlife Diseases, 57(1), pp.125-131.","",Predation,,"",1,"",0,"","",,"","",Midway Atoll National Wildlife Refuge,28.2482,-177.3335,"""""we show that, in addition to chicks, house mice (Mus musculus) prey on adult nesting LAAL on Midway Atoll""""",Mus musculus,127
Phoebastria immutabilis,"Holthuijzen, W.A., Flint, E.N., Green, S.J., Plissner, J.H., Simberloff, D., Sweeney, D., Wolf, C.A. and Jones, H.P., 2023. An invasive appetite: Combining molecular and stable isotope analyses to reveal the diet of introduced house mice (Mus musculus) on a small, subtropical island. Plos one, 18(10), p.e0293092.","",Predation,,"",1,"",0,"","",,"","",Midway Atoll National Wildlife Refuge,28.2482,-177.3335,"""""House mouse diet on Sand Island is dominated by arthropods (62%), with C3 plants, C4 plants, and mōlī contributing nearly equal proportions (15%, 12%, and 12%, respectively; Fig 3A, S4 Table).""""",Mus musculus,128
Thalassarche chrysostoma,"Dilley, B.J., Schoombie, S., Schoombie, J. and Ryan, P.G., 2016. ‘Scalping’of albatross fledglings by introduced mice spreads rapidly at Marion Island. Antarctic Science, 28(2), pp.73-80.","",Predation,,2201,1,4.6%,0,"","",,"","",Marion Island,-46.9125,37.743611,"""""In 2015, mice attacked large chicks of all three albatross species that fledge in autumn: grey-headed (Thalassarche chrysostoma Forster) (at least 102 wounded chicks; 4.6% of fledglings), sooty (n = 45, 4.3%) and light-mantled albatross (P. palpebrata Forster) (n = 1, 4%). Filming at night confirmed that mice were responsible for wounds.""""",Mus musculus,129
Thalassarche chrysostoma,"Jones, M.G.W. and Ryan, P.G., 2010. Evidence of mouse attacks on albatross chicks on sub-Antarctic Marion Island. Antarctic Science, 22(1), pp.39-42.","",Predation,,"",0,"",0,"","",,"","",Marion Island,-46.9125,37.743611,"""""There has been no evidence of mouse attacks on greyheaded albatross or northern giant petrel chicks, either in the study colonies or from incidental observations.""""",Mus musculus,130
Thalassarche chlororhynchos,"Cuthbert, R.J., Louw, H., Parker, G., Rexer-Huber, K. and Visser, P., 2013. Observations of mice predation on dark-mantled sooty albatross and Atlantic yellow-nosed albatross chicks at Gough Island. Antarctic Science, 25(6), pp.763-766.","",Predation,,52,1,1.92%,0,"","",,"","",Gough Island,-40.3186,-9.9353,"""""Fig. 2. a. The carcass of an Atlantic yellow-nosed albatross chick with wounds on the belly and exposed viscera, and b. location of the mouse hole within the nest mound and entrance of the mouse hole at the base of the pedestal."""" """"This predated chick was one of 52 hatched chicks in the long-term study colony where regular (more than twice weekly) checks were made in the 2009/10 season, suggesting mice preyed upon a minimum of 2% of chicks in this season.""""",Mus musculus,131
Thalassarche chlororhynchos,"Jones, C.W., Risi, M.M., Cleeland, J. and Ryan, P.G., 2019. First evidence of mouse attacks on adult albatrosses and petrels breeding on sub-Antarctic Marion and Gough Islands. Polar Biology, 42, pp.619-623.","",Predation,,618,1,3.72%,0,"","",,"","",Gough Island,-40.3186,-9.9353,"""""During an incubation census of Atlantic Yellow-nosed Albatross Thalassarche chlororhynchos conducted from 18 to 26 October 2018 on Gough Island, an incubating individual was found on 19 October with a wound on the central back. The wound (~ 2 cm in diameter) had punctured the dermal layer and caused minor bleeding, but the adult bird was responsive and appeared unaffected. However, during the census, of 618 incubators counted in long-term census plots, a total of 23 freshly dead carcasses of Atlantic Yellownosed Albatrosses were found next to empty nests in nearby colonies to where the mouse wounded bird was found. The cause of death could not be determined and remains speculative.",Mus musculus,132
Thalassarche chlororhynchos,"Jones, C.W., Risi, M.M., Cleeland, J. and Ryan, P.G., 2019. First evidence of mouse attacks on adult albatrosses and petrels breeding on sub-Antarctic Marion and Gough Islands. Polar Biology, 42, pp.619-623.","",Timing,,"",0,"",0,"","",,"","",Gough Island,-40.3186,-9.9353,"""""Prior to 2017, there were no definite records of incubating or brooding adult seabirds on Marion or Gough Islands with wounds consistent with those inflicted by mice on albatross or petrel chicks."""" *This species was defined Endangered in 2003 (IUCN Red List 2023)",Mus musculus,133
Phoebetria fusca,"Cuthbert, R.J., Louw, H., Parker, G., Rexer-Huber, K. and Visser, P., 2013. Observations of mice predation on dark-mantled sooty albatross and Atlantic yellow-nosed albatross chicks at Gough Island. Antarctic Science, 25(6), pp.763-766.","",Predation,,"",1,"",0,"","",,"","",Gough Island,-40.3186,-9.9353,"""""Fig. 1. a. The carcass of a sooty albatross chick with wounds to its belly and abdomen and exposed viscera, and b. location of the mouse hole within the nest and beneath the carcass of the chick.",Mus musculus,134
Phoebetria fusca,"Barbraud, C., Delord, K., Le Bouard, F., Harivel, R., Demay, J., Chaigne, A. and Micol, T., 2021. Seabird population changes following mammal eradication at oceanic Saint-Paul Island, Indian Ocean. Journal for Nature Conservation, 63, p.126049.","",Timing,,"",0,"",0,"","",,"","",Saint-Paul Island,57.1208,-170.283,No difference in number of Sooty Albatross breeding pairs before and after rat eradication (Table 2),Rattus rattus,135
Phoebetria fusca,"Dilley, B.J., Schoombie, S., Schoombie, J. and Ryan, P.G., 2016. ‘Scalping’of albatross fledglings by introduced mice spreads rapidly at Marion Island. Antarctic Science, 28(2), pp.73-80.","",Predation,,1045,1,4.3%,0,"","",,"","",Marion Island,-46.9125,37.743611,"""""In 2015, mice attacked large chicks of all three albatross species that fledge in autumn: grey-headed (Thalassarche chrysostoma Forster) (at least 102 wounded chicks; 4.6% of fledglings), sooty (n = 45, 4.3%) and light-mantled albatross (P. palpebrata Forster) (n = 1, 4%). Filming at night confirmed that mice were responsible for wounds.""""",Mus musculus,136
Phoebetria fusca,"Jones, M.G.W. and Ryan, P.G., 2010. Evidence of mouse attacks on albatross chicks on sub-Antarctic Marion Island. Antarctic Science, 22(1), pp.39-42.","",Predation,,"",1,"",0,"","",,"","",Marion Island,-46.9125,37.743611,"""""We summarize evidence for mouse attacks on albatross chicks at sub-Antarctic Marion Island, where mice are also the only introduced mammal following the eradication of feral cats Felis catus in the early 1990s. Wounds consistent with mouse attacks have been found on wandering albatrosses Diomedea exulans since 2003 and dark-mantled sooty albatrosses Phoebetria fusca in 2009."""" """"However, in April 2009 localized attacks were recorded on dark-mantled sooty albatross chicks at Marion Island. Seven of 19 large chicks on two ledges of an inland cliff in the south-west of the island (Old Sea Cliffs, Toffee Lava) bore open wounds on the backs of their heads and/or necks (Fig. 2) similar to wounds observed on some Tristan albatross chicks on Gough Island""""",Mus musculus,137
Phoebetria palpebrata,"Dilley, B.J., Schoombie, S., Schoombie, J. and Ryan, P.G., 2016. ‘Scalping’of albatross fledglings by introduced mice spreads rapidly at Marion Island. Antarctic Science, 28(2), pp.73-80.","",Predation,,25,1,4%,0,"","",,"","",Marion Island,-46.9125,37.743611,"""""In 2015, mice attacked large chicks of all three albatross species that fledge in autumn: grey-headed (Thalassarche chrysostoma Forster) (at least 102 wounded chicks; 4.6% of fledglings), sooty (n = 45, 4.3%) and light-mantled albatross (P. palpebrata Forster) (n = 1, 4%). Filming at night confirmed that mice were responsible for wounds.""""",Mus musculus,138
Hydrobates homochroa,"Newton, K.M., McKown, M., Wolf, C., Gellerman, H., Coonan, T., Richards, D., Harvey, A.L., Holmes, N., Howald, G., Faulkner, K. and Tershy, B.R., 2016. Response of native species 10 years after rat eradication on Anacapa Island, California. Journal of Fish and Wildlife Management, 7(1), pp.72-85.","Harvey, A.L., Mazurkiewicz, D.M., McKOWN, M.W., Barnes, K.W. and Parker, M.W., 2016. Changing breeding status of the ashy storm-petrel Oceanodroma homochroa on Anacapa Island, California. Marine Ornithology, 44, pp.93-97; Carter, H.R., Ainley, D.G., WOLF, S.G. and Weinstein, A.M., 2016. Range-wide conservation and science of the Ashy Storm-Petrel Oceanodroma homochroa. Marine Ornithology, 44, pp.53-62.",Timing,,"",1,"",0,"","",,"","",Anacapa Island,34.0044,-119.3996,"""""No evidence of breeding ashy storm-petrels were found during sea cave searches pre- or post-eradication (2001 – 2010; Table 1) on Anacapa Island (Whitworth et al. 2012)."""" """"We found one active nest containing a nearly fledged ASSP chick in 2011, representing the first breeding record for the island."""" """"however, a small remnant population likely persisted in rat-inaccessible habitats before eradication, as judged from the 50 birds captured in mist nets in 1994 (Carter & Whitworth 2013)""""",Rattus rattus,139
Hydrobates homochroa,"Newton, K.M., McKown, M., Wolf, C., Gellerman, H., Coonan, T., Richards, D., Harvey, A.L., Holmes, N., Howald, G., Faulkner, K. and Tershy, B.R., 2016. Response of native species 10 years after rat eradication on Anacapa Island, California. Journal of Fish and Wildlife Management, 7(1), pp.72-85.","Harvey, A.L., Mazurkiewicz, D.M., McKOWN, M.W., Barnes, K.W. and Parker, M.W., 2016. Changing breeding status of the ashy storm-petrel Oceanodroma homochroa on Anacapa Island, California. Marine Ornithology, 44, pp.93-97; Carter, H.R., Ainley, D.G., WOLF, S.G. and Weinstein, A.M., 2016. Range-wide conservation and science of the Ashy Storm-Petrel Oceanodroma homochroa. Marine Ornithology, 44, pp.53-62.",Predation,,"",1,"",0,"","",,"","",Farallon Islands,37.6986,-123.0022,"""""Mice were suspected of depredating… eggs and small chicks of the Ashy Storm-Petrel Oceanodroma homochroa on the Farallon Islands (Ainley et al. 1990)"""" - Reference not online",Mus musculus,140
Diomedea dabbenena,"Cuthbert, R., Sommer, E., Ryan, P., Cooper, J. and Hilton, G., 2004. Demography and conservation of the Tristan albatross Diomedea [exulans] dabbenena. Biological Conservation, 117(5), pp.471-481.","Cuthbert, R. and Hilton, G., 2004. Introduced house mice Mus musculus: a significant predator of threatened and endemic birds on Gough Island, South Atlantic Ocean?. Biological conservation, 117(5), pp.483-489; Jones, M.G.W. and Ryan, P.G., 2010. Evidence of mouse attacks on albatross chicks on sub-Antarctic Marion Island. Antarctic Science, 22(1), pp.39-42; Cuthbert, R.J., Wanless, R.M., Angel, A., Burle, M.H., Hilton, G.M., Louw, H., Visser, P., Wilson, J.W. and Ryan, P.G., 2016. Drivers of predatory behavior and extreme size in house mice Mus musculus on Gough Island. Journal of Mammalogy, 97(2), pp.533-544.",Predation,,"",1,"",0,"","",,"","",Gough Island,-40.3186,-9.9353,"""""Wounds found on two live chicks and injuries found on Atlantic Pterodroma incerta petrel chicks strongly suggest that feral house mice Mus musculus are the most likely predator of Tristan albatross chicks (Cuthbert and Hilton, in press).""""",Mus musculus,141
Diomedea dabbenena,"Wanless, R.M., Angel, A., Cuthbert, R.J., Hilton, G.M. and Ryan, P.G., 2007. Can predation by invasive mice drive seabird extinctions?. Biology letters, 3(3), pp.241-244.","",Predation,,256,1,39%,0,"","",,"","",Gough Island,-40.3186,-9.9353,"""""Mouse-induced mortality in 2004 was a significant cause of extremely poor breeding success for Tristan albatrosses, Diomedea dabbenena (0.27 fledglings/pair), and Atlantic petrels, Pterodroma incerta (0.33).""""",Mus musculus,142
Diomedea dabbenena,"Connan, M., Jones, C.W., Risi, M.M., Smyth, L.K., Oppel, S., Perold, V., Stevens, K.L., Daling, R. and Ryan, P.G., 2023. First evidence of mouse predation killing adult great albatrosses. Biological Invasions, pp.1-7.","",Predation,,"",1,"",0,"","",,"","",Gough Island,-40.3186,-9.9353,"""""On Gough Island, three Tristan Albatrosses Diomedea dabbenena (Critically Endangered) brooding small chicks were observed with wounds typical of mouse attacks in March–April 2021; two likely abandoned their chick, causing breeding failure, and the third was found dead eight days after discovery with large blowfly larvae in the wound. On Marion Island, two wounded and eight dead adult Wandering Albatrosses D. exulans (Vulnerable) were found in April 2023. Inspection of the wounded individuals, as well as the injuries on the fresh carcasses strongly suggest that mouse predation was the cause of death.""""",Mus musculus,143
