assessmentId,internalTaxonId,scientificName,Common_name,Synonyms_or_previous_lump,Original_rodents_attributed_IUCN,redlistCategory,redlistCriteria,Primary_causes,Rodent_primary,Rodent_only_primary,has_study,orig_attrib_ID,Rodent_attributed,Location_species_comment,Location_species_reference
125419923,22702156,Aphrastura masafuerae,Masafuera Rayadito,Aphrastura masafucrae,"Rattus, Mus musculus",Critically Endangered,B1ab(iii),Habitat loss,0,0,No,116,Mus musculus,,
94248565,22710502,Aplonis cinerascens,Rarotonga Starling,,Rattus rattus,Vulnerable,D1+2,Unknown,0,0,No,43,Rattus rattus,,
94248268,22710496,Aplonis corvina,Kosrae Starling,,"Rattus rattus, Rattus exulans",Extinct,,Rats,1,1,No,41,Rattus rattus,,"Hayes, F.E. and Engbring, J., 2020. Historic and recent status of the Kosrae flying fox (Pteropus ualanus)(Chiroptera: Pteropidae) on Kosrae, Micronesia. Journal of Asia-Pacific Biodiversity, 13(2), pp.141-150."
94248268,22710496,Aplonis corvina,Kosrae Starling,,"Rattus rattus, Rattus exulans",Extinct,,Rats,1,1,No,41,Rattus exulans,,"Hayes, F.E. and Engbring, J., 2020. Historic and recent status of the Kosrae flying fox (Pteropus ualanus)(Chiroptera: Pteropidae) on Kosrae, Micronesia. Journal of Asia-Pacific Biodiversity, 13(2), pp.141-150."
94249210,22710511,Aplonis fusca,Tasman Starling,Aplornis fusca ssp. Fusca,Rattus rattus,Extinct,,"Rats, habitat loss",1,0,Yes,44,Rattus rattus,,
94248417,22710499,Aplonis mavornata,Mysterious Starling,,Rattus norvegicus,Extinct,,Rats,1,1,No,42,Rattus norvegicus,,
94247819,22710490,Aplonis pelzelni,Pohnpei Starling,,"Rattus rattus, Rattus exulans",Critically Endangered,"B1ab(v);C2a(i,ii);D",Unknown,0,0,No,40,Rattus rattus,,"Wegmann, A., Marquez, R., Howald, G., Curl, J., Helm, J., Llewellyn, C. and Shed, P., 2007. Pohnpei rat eradication research and demonstration project. Island Conservation, Santa Cruz, CA."
94247819,22710490,Aplonis pelzelni,Pohnpei Starling,,"Rattus rattus, Rattus exulans",Critically Endangered,"B1ab(v);C2a(i,ii);D",Unknown,0,0,No,40,Rattus exulans,,"Wegmann, A., Marquez, R., Howald, G., Curl, J., Helm, J., Llewellyn, C. and Shed, P., 2007. Pohnpei rat eradication research and demonstration project. Island Conservation, Santa Cruz, CA."
119060447,22710485,Aplonis santovestris,Mountain Starling,,"Rattus rattus, Rattus norvegicus, Rattus exulans",Endangered,"B1ab(v)+2ab(v); C2a(i,ii)",Unknown,0,0,No,95,Rattus rattus,Information used for Vanuatu,"Brown, P.R., Aplin, K.P., Hinds, L.A., Jacob, J., Thomas, S.E. and Ritchie, B.J., 2018. Rodent management issues in South Pacific islands: a review with case studies from Papua New Guinea and Vanuatu. Wildlife Research, 44(8), pp.587-602."
119060447,22710485,Aplonis santovestris,Mountain Starling,,"Rattus rattus, Rattus norvegicus, Rattus exulans",Endangered,"B1ab(v)+2ab(v); C2a(i,ii)",Unknown,0,0,No,95,Rattus norvegicus,Information used for Vanuatu,"Brown, P.R., Aplin, K.P., Hinds, L.A., Jacob, J., Thomas, S.E. and Ritchie, B.J., 2018. Rodent management issues in South Pacific islands: a review with case studies from Papua New Guinea and Vanuatu. Wildlife Research, 44(8), pp.587-602."
119060447,22710485,Aplonis santovestris,Mountain Starling,,"Rattus rattus, Rattus norvegicus, Rattus exulans",Endangered,"B1ab(v)+2ab(v); C2a(i,ii)",Unknown,0,0,No,95,Rattus exulans,Information used for Vanuatu,"Brown, P.R., Aplin, K.P., Hinds, L.A., Jacob, J., Thomas, S.E. and Ritchie, B.J., 2018. Rodent management issues in South Pacific islands: a review with case studies from Papua New Guinea and Vanuatu. Wildlife Research, 44(8), pp.587-602."
119212332,22734867,Aplonis ulietensis,Raiatea Starling,Turdus ulietensis,Rattus norvegicus,Extinct,,Rats,1,1,Yes,110,Rattus norvegicus,,
95041689,22732059,Aptenorallus calayanensis,Calayan Rail,Gallirallus calayanensis,Rattus,Vulnerable,D2,Habitat loss,0,0,No,73,Rattus,,"Broad, G. and Oliveros, C., 2004. Biodiversity and conservation priority setting in the Babuyan Islands, Philippines. Sylvatrop, The Technical Journal of Philippine Ecosystems and Natural Resources, 15(1&2), pp.1-30."
119177586,45353580,Apteryx mantelli,North Island Brown Kiwi,Apteryx australis,"Rattus rattus, Rattus norvegicus, Rattus exulans",Vulnerable,A2bce,"Dog, ferret",0,0,Yes,99,Rattus rattus,,"Atkinson IAE. 1985. The spread of commensal species of Rattus to oceanic islands and their effects on island avifaunas. Pages 35-81 in Moors PJ, editor. Conservation of Island Birds. Case Studies for the Management of Threatened Island Species. Symposium proceedings. ICBP Technical Publication No. 3, XVIII ICBP World Conference, Cambridhe, England."
119177586,45353580,Apteryx mantelli,North Island Brown Kiwi,Apteryx australis,"Rattus rattus, Rattus norvegicus, Rattus exulans",Vulnerable,A2bce,"Dog, ferret",0,0,Yes,99,Rattus norvegicus,,"Atkinson IAE. 1985. The spread of commensal species of Rattus to oceanic islands and their effects on island avifaunas. Pages 35-81 in Moors PJ, editor. Conservation of Island Birds. Case Studies for the Management of Threatened Island Species. Symposium proceedings. ICBP Technical Publication No. 3, XVIII ICBP World Conference, Cambridhe, England."
119177586,45353580,Apteryx mantelli,North Island Brown Kiwi,Apteryx australis,"Rattus rattus, Rattus norvegicus, Rattus exulans",Vulnerable,A2bce,"Dog, ferret",0,0,Yes,99,Rattus exulans,,"Atkinson IAE. 1985. The spread of commensal species of Rattus to oceanic islands and their effects on island avifaunas. Pages 35-81 in Moors PJ, editor. Conservation of Island Birds. Case Studies for the Management of Threatened Island Species. Symposium proceedings. ICBP Technical Publication No. 3, XVIII ICBP World Conference, Cambridhe, England."
155469189,22698188,Ardenna carneipes,Flesh-footed Shearwater,Puffinus carneipes,"Rattus rattus, Rattus norvegicus",Near Threatened,A2bcde+3bcde+4bcde,Unknown,0,0,Yes,226,Rattus rattus,,
155469189,22698188,Ardenna carneipes,Flesh-footed Shearwater,Puffinus carneipes,"Rattus rattus, Rattus norvegicus",Near Threatened,A2bcde+3bcde+4bcde,Unknown,0,0,Yes,226,Rattus norvegicus,,
132633266,22698195,Ardenna creatopus,Pink-footed Shearwater,Puffinus creatopus,"Rattus rattus, Rattus norvegicus",Vulnerable,D2,Fishing-bycatch,0,0,Yes,189,Rattus rattus,,
132633266,22698195,Ardenna creatopus,Pink-footed Shearwater,Puffinus creatopus,"Rattus rattus, Rattus norvegicus",Vulnerable,D2,Fishing-bycatch,0,0,Yes,189,Rattus norvegicus,,
154440143,22698209,Ardenna grisea,Sooty Shearwater,Puffinus griseus,"Rattus rattus, Rattus norvegicus",Near Threatened,A2de+3de+4de,Fishing-bycatch,0,0,Yes,221,Rattus rattus,,
154440143,22698209,Ardenna grisea,Sooty Shearwater,Puffinus griseus,"Rattus rattus, Rattus norvegicus",Near Threatened,A2de+3de+4de,Fishing-bycatch,0,0,Yes,221,Rattus norvegicus,,
189949320,22697143,Ardeola idae,Madagascar Pond-heron,,"Rattus rattus, Rattus norvegicus",Endangered,C2a(ii),Habitat loss,0,0,Yes,299,Rattus rattus,,"Goodman, S.M., 1995. Rattus on Madagascar and the dilemma of protecting the endemic rodent fauna. Conservation biology, 9(2), pp.450-453; Dammhahn, M., Randriamoria, T.M. and Goodman, S.M., 2017. Broad and flexible stable isotope niches in invasive non-native Rattus spp. in anthropogenic and natural habitats of central eastern Madagascar. BMC ecology, 17, pp.1-13."
