Bird_scientific_name,redlistCategory,Migratory_status,Single_island_endemic,Evidence,Eradication_ID,Eradication_status,Island_Name,Archipelago,Region,Country,Longitude,Latitude,Rodent_attributed_final
Cinclodes antarcticus,Near Threatened,Not a Migrant,no,Population study with all qualities in support,1183,Successful (Reinvaded),Rat,Falkland Islands (Beaver Island Group),Atlantic Ocean - South,Falkland Islands (Malvinas),-61.21992,-51.84443,Rattus norvegicus
Cinclodes antarcticus,Near Threatened,Not a Migrant,no,Population study with all qualities in support,2321,Successful,Rat,Falkland Islands (Beaver Island Group),Atlantic Ocean - South,Falkland Islands (Malvinas),-61.21992,-51.84443,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,1275,Successful,Rat,Falkland Islands (Salvador Waters),Atlantic Ocean - South,Falkland Islands (Malvinas),-58.33083749,-51.44780909,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,1872,Successful (Reinvaded),Rat,Bay of Islands (Black Rocks),Pacific Ocean - South West,New Zealand,174.0986825,-35.20344009,Rattus norvegicus
Fratercula arctica,Vulnerable,Full migrant,no,Population study with data in support,1164,Successful,Rats,Sept les Archipelago,Atlantic Ocean - North,France,-3.500302599,48.88725737,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,1887,Successful,Round,Bay of Islands (Urupukapuka),Pacific Ocean - South West,New Zealand,174.2366307,-35.22818295,Rattus norvegicus
Fratercula arctica,Vulnerable,Full migrant,no,Population study with data in support,260,Successful,Rouzic (Rougic),Sept les Archipelago,Atlantic Ocean - North,France,-3.437560012,48.89915691,Rattus norvegicus
Certhidea olivacea,Vulnerable,Not a Migrant,no,No studies found,1837,Successful,Rábida,Galapagos Islands,Pacific Ocean - North East,Ecuador,-90.70867487,-0.413861509,Rattus norvegicus
Fratercula arctica,Vulnerable,Full migrant,no,Population study with data in support,2216,Successful,Saint Agnes,Isles of Scilly,Atlantic Ocean - North,United Kingdom,-6.34430217,49.89107422,Rattus norvegicus
Fratercula arctica,Vulnerable,Full migrant,no,Population study with data in support,230,Failed,Saint-Riom,Saint-Riom Islands,Atlantic Ocean - North,France,-2.981828739,48.79794092,Rattus norvegicus
Fratercula arctica,Vulnerable,Full migrant,no,Population study with data in support,1115,Failed,Saint-Riom (6 islets),Saint-Riom Islands,Atlantic Ocean - North,France,-2.9836496,48.80517882,Rattus norvegicus
Certhidea olivacea,Vulnerable,Not a Migrant,no,No studies found,3139,Planned,Seymour Norte,Galapagos Islands,Pacific Ocean - North East,Ecuador,-90.2849004,-0.395017292,Rattus norvegicus
Progne modesta,Endangered,Not a Migrant,no,No studies found,3139,Planned,Seymour Norte,Galapagos Islands,Pacific Ocean - North East,Ecuador,-90.2849004,-0.395017292,Rattus norvegicus
Onychoprion aleuticus,Vulnerable,Full migrant,no,No studies found,1856,Trial or Research only,South,Aleutian Islands (Adak Island (Bay of Islands)),Pacific Ocean - North East,United States,-176.8006095,51.82092992,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,2276,Successful (Reinvaded),South Crater Rim,Bay of Islands (Black Rocks),Pacific Ocean - South West,New Zealand,174.1117711,-35.20532153,Rattus norvegicus
Eudyptes chrysolophus,Vulnerable,Full migrant,no,No studies found,1834,Successful,South Georgia,South Georgia Islands,Atlantic Ocean - South,South Georgia and the South Sandwich Islands,-36.6802295,-54.37892661,Rattus norvegicus
Eudyptes chrysolophus,Vulnerable,Full migrant,no,No studies found,2831,Successful,South Georgia,South Georgia Islands,Atlantic Ocean - South,South Georgia and the South Sandwich Islands,-36.6802295,-54.37892661,Rattus norvegicus
Phoebetria palpebrata,Near Threatened,Full migrant,no,No studies found,1834,Successful,South Georgia,South Georgia Islands,Atlantic Ocean - South,South Georgia and the South Sandwich Islands,-36.6802295,-54.37892661,Rattus norvegicus
Phoebetria palpebrata,Near Threatened,Full migrant,no,No studies found,2831,Successful,South Georgia,South Georgia Islands,Atlantic Ocean - South,South Georgia and the South Sandwich Islands,-36.6802295,-54.37892661,Rattus norvegicus
Ptychoramphus aleuticus,Near Threatened,Not a Migrant,no,No studies found,3057,Successful,St. James,British Columbia (Haida Gwaii),Pacific Ocean - North East,Canada,-131.0174373,51.93711216,Rattus norvegicus
Cinclodes antarcticus,Near Threatened,Not a Migrant,no,Population study with all qualities in support,1277,Successful,Staats,Falkland Islands (Beaver Island Group),Atlantic Ocean - South,Falkland Islands (Malvinas),-61.18892753,-51.89042225,Rattus norvegicus
Eudyptes chrysolophus,Vulnerable,Full migrant,no,No studies found,1277,Successful,Staats,Falkland Islands (Beaver Island Group),Atlantic Ocean - South,Falkland Islands (Malvinas),-61.18892753,-51.89042225,Rattus norvegicus
