scientificName,synth_col,redlistCategory,Migratory status,single_island_endemic,Eradication.ID,Status (Eradication),seasonal,Island.Name,Archipelago,Region,Country,geom,Rodent_attributed_final
Coturnix novaezelandiae,No studies found,Extinct,Not a Migrant,no,2907,Successful,1,Great Mercury,Mercury Islands,Pacific Ocean - South West,New Zealand,175.7957877|-36.61610385,Rattus rattus
Mergus australis,No studies found,Extinct,Not a Migrant,no,2907,Successful,1,Great Mercury,Mercury Islands,Pacific Ocean - South West,New Zealand,175.7957877|-36.61610385,Rattus rattus
Ardenna grisea,No studies found,Near Threatened,Full migrant,no,456,Incomplete,2,Harakeke (Galakek),Bay of Islands,Pacific Ocean - South West,New Zealand,174.1326108|-35.15568405,Rattus rattus
Ardenna grisea,No studies found,Near Threatened,Full migrant,no,1812,Successful,2,Hat,Bay of Islands (Urupukapuka),Pacific Ocean - South West,New Zealand,174.2524414|-35.21722652,Rattus rattus
Callaeas cinereus,Population study with all qualities in support,Critically Endangered,Not a Migrant,no,329,Successful,1,Haulashore,Nelson Islands,Pacific Ocean - South West,New Zealand,173.2574878|-41.26730488,Rattus rattus
Ardenna grisea,No studies found,Near Threatened,Full migrant,no,329,Successful,2,Haulashore,Nelson Islands,Pacific Ocean - South West,New Zealand,173.2574878|-41.26730488,Rattus rattus
Pterodroma brevipes,All studies are not in support,Vulnerable,Not a Migrant,no,2138,Successful (Reinvaded),1,Hiuveru,Tuamotu Archipelago (Rangiroa),Pacific Ocean - South East,French Polynesia,-147.7964808|-15.20760904,Rattus rattus
Pampusana erythroptera,No studies found,Critically Endangered,Not a Migrant,no,2138,Successful (Reinvaded),1,Hiuveru,Tuamotu Archipelago (Rangiroa),Pacific Ocean - South East,French Polynesia,-147.7964808|-15.20760904,Rattus rattus
Ptilinopus coralensis,No studies found,Near Threatened,Not a Migrant,no,2138,Successful (Reinvaded),1,Hiuveru,Tuamotu Archipelago (Rangiroa),Pacific Ocean - South East,French Polynesia,-147.7964808|-15.20760904,Rattus rattus
Pterodroma brevipes,All studies are not in support,Vulnerable,Not a Migrant,no,2137,Successful (Reinvaded),1,Hiveu,Tuamotu Archipelago (Rangiroa),Pacific Ocean - South East,French Polynesia,-147.79947|-15.2079536,Rattus rattus
Pterodroma brevipes,All studies are not in support,Vulnerable,Not a Migrant,no,2360,Successful (Reinvaded),1,Hiveu,Tuamotu Archipelago (Rangiroa),Pacific Ocean - South East,French Polynesia,-147.79947|-15.2079536,Rattus rattus
Pampusana erythroptera,No studies found,Critically Endangered,Not a Migrant,no,2137,Successful (Reinvaded),1,Hiveu,Tuamotu Archipelago (Rangiroa),Pacific Ocean - South East,French Polynesia,-147.79947|-15.2079536,Rattus rattus
Pampusana erythroptera,No studies found,Critically Endangered,Not a Migrant,no,2360,Successful (Reinvaded),1,Hiveu,Tuamotu Archipelago (Rangiroa),Pacific Ocean - South East,French Polynesia,-147.79947|-15.2079536,Rattus rattus
Ptilinopus coralensis,No studies found,Near Threatened,Not a Migrant,no,2137,Successful (Reinvaded),1,Hiveu,Tuamotu Archipelago (Rangiroa),Pacific Ocean - South East,French Polynesia,-147.79947|-15.2079536,Rattus rattus
Ptilinopus coralensis,No studies found,Near Threatened,Not a Migrant,no,2360,Successful (Reinvaded),1,Hiveu,Tuamotu Archipelago (Rangiroa),Pacific Ocean - South East,French Polynesia,-147.79947|-15.2079536,Rattus rattus
Hymenolaimus malacorhynchos,All studies are not in support,Endangered,Not a Migrant,no,847,Unknown,1,Hokianga,Ohiwa Harbour,Pacific Ocean - South West,New Zealand,177.1341853|-38.01978794,Rattus rattus
Ardenna grisea,No studies found,Near Threatened,Full migrant,no,847,Unknown,2,Hokianga,Ohiwa Harbour,Pacific Ocean - South West,New Zealand,177.1341853|-38.01978794,Rattus rattus
Coturnix novaezelandiae,No studies found,Extinct,Not a Migrant,no,847,Unknown,1,Hokianga,Ohiwa Harbour,Pacific Ocean - South West,New Zealand,177.1341853|-38.01978794,Rattus rattus
Mergus australis,No studies found,Extinct,Not a Migrant,no,847,Unknown,1,Hokianga,Ohiwa Harbour,Pacific Ocean - South West,New Zealand,177.1341853|-38.01978794,Rattus rattus
Turnagra tanagra,No studies found,Extinct,Not a Migrant,yes,847,Unknown,1,Hokianga,Ohiwa Harbour,Pacific Ocean - South West,New Zealand,177.1341853|-38.01978794,Rattus rattus
Foudia rubra,Only predation in support,Endangered,Not a Migrant,yes,382,Successful,1,Ile aux Aigrettes,Mauritius Islands,Indian Ocean - West,Mauritius,57.73363991|-20.41948159,Rattus rattus
Foudia rubra,Only predation in support,Endangered,Not a Migrant,yes,2196,Successful,1,Ile aux Aigrettes,Mauritius Islands,Indian Ocean - West,Mauritius,57.73363991|-20.41948159,Rattus rattus
Callaeas cinereus,Population study with all qualities in support,Critically Endangered,Not a Migrant,no,2260,Successful (Reinvaded),1,Indian,Dusky Sound,Pacific Ocean - South West,New Zealand,166.5874989|-45.77853395,Rattus rattus
Cyanoramphus auriceps,All studies are not in support,Near Threatened,Not a Migrant,no,2260,Successful (Reinvaded),1,Indian,Dusky Sound,Pacific Ocean - South West,New Zealand,166.5874989|-45.77853395,Rattus rattus
Ardenna grisea,No studies found,Near Threatened,Full migrant,no,2260,Successful (Reinvaded),2,Indian,Dusky Sound,Pacific Ocean - South West,New Zealand,166.5874989|-45.77853395,Rattus rattus
Coturnix novaezelandiae,No studies found,Extinct,Not a Migrant,no,2260,Successful (Reinvaded),1,Indian,Dusky Sound,Pacific Ocean - South West,New Zealand,166.5874989|-45.77853395,Rattus rattus
Mergus australis,No studies found,Extinct,Not a Migrant,no,2260,Successful (Reinvaded),1,Indian,Dusky Sound,Pacific Ocean - South West,New Zealand,166.5874989|-45.77853395,Rattus rattus
Pterodroma inexpectata,No studies found,Near Threatened,Full migrant,no,2260,Successful (Reinvaded),2,Indian,Dusky Sound,Pacific Ocean - South West,New Zealand,166.5874989|-45.77853395,Rattus rattus
Turnagra capensis,No studies found,Extinct,Not a Migrant,yes,2260,Successful (Reinvaded),1,Indian,Dusky Sound,Pacific Ocean - South West,New Zealand,166.5874989|-45.77853395,Rattus rattus
Geospiza psittacula,No studies found,Vulnerable,Not a Migrant,no,2144,Unknown pre-status,1,Islote Gran Felipe,Galapagos Islands,Pacific Ocean - North East,Ecuador,-90.55406447|-0.291192307,Rattus rattus
Spheniscus mendiculus,No studies found,Endangered,Not a Migrant,no,2144,Unknown pre-status,3,Islote Gran Felipe,Galapagos Islands,Pacific Ocean - North East,Ecuador,-90.55406447|-0.291192307,Rattus rattus
Coturnix novaezelandiae,No studies found,Extinct,Not a Migrant,no,1678,Successful (Reinvaded),1,Kaikoura,Great Barrier Islands,Pacific Ocean - South West,New Zealand,175.3252891|-36.17637718,Rattus rattus
Mergus australis,No studies found,Extinct,Not a Migrant,no,1678,Successful (Reinvaded),1,Kaikoura,Great Barrier Islands,Pacific Ocean - South West,New Zealand,175.3252891|-36.17637718,Rattus rattus
Ardenna grisea,No studies found,Near Threatened,Full migrant,no,1214,Successful (Reinvaded),2,Koi,Hauraki Gulf (Waiheke Island),Pacific Ocean - South West,New Zealand,175.0556283|-36.82691667,Rattus rattus
Ardenna grisea,No studies found,Near Threatened,Full migrant,no,1814,Successful,2,Kuiamokimoki,Bay of Islands (Moturoa),Pacific Ocean - South West,New Zealand,174.19849|-35.23039829,Rattus rattus
Pterodroma leucoptera,No studies found,Vulnerable,Full migrant,no,901,Successful,2,Little Broughton,Myall Coast Islands,Pacific Ocean - South West,Australia,152.3336639|-32.62108476,Rattus rattus
Ptychoramphus aleuticus,Population study with data in support,Near Threatened,Not a Migrant,no,2394,Successful,1,Little Faraday,British Columbia (Haida Gwaii),Pacific Ocean - North East,Canada,-131.464924|52.61362123,Rattus rattus
Ardenna grisea,No studies found,Near Threatened,Full migrant,no,1206,Successful (Reinvaded),2,Little Rat,Bay of Islands (Black Rocks),Pacific Ocean - South West,New Zealand,174.0992937|-35.20475981,Rattus rattus
Larus fuliginosus,Only predation in support,Vulnerable,Not a Migrant,no,2023,Successful,1,Logie (Lougie),Galapagos Islands,Pacific Ocean - North East,Ecuador,-90.57770813|-0.254561722,Rattus rattus
Progne modesta,No studies found,Endangered,Not a Migrant,no,2023,Successful,1,Logie (Lougie),Galapagos Islands,Pacific Ocean - North East,Ecuador,-90.57770813|-0.254561722,Rattus rattus
Pterodroma leucoptera,No studies found,Vulnerable,Full migrant,no,902,Successful,2,Looking Glas (South Rock),Myall Coast Islands,Pacific Ocean - South West,Australia,152.3170464|-32.62930348,Rattus rattus
Fratercula arctica,Population study without data in support,Vulnerable,Full migrant,no,186,Successful,2,Lundy,Bristol Channel,Atlantic Ocean - North,United Kingdom,-4.66958038|51.17794887,Rattus rattus
Ardenna grisea,No studies found,Near Threatened,Full migrant,no,618,Successful,2,Macquarie,Macquarie Islands,Pacific Ocean - South West,Australia,158.8643089|-54.62839539,Rattus rattus
Phoebetria palpebrata,No studies found,Near Threatened,Full migrant,no,618,Successful,2,Macquarie,Macquarie Islands,Pacific Ocean - South West,Australia,158.8643089|-54.62839539,Rattus rattus
Ardenna grisea,No studies found,Near Threatened,Full migrant,no,1743,Successful,2,Mahenotiti,Bay of Islands (Urupukapuka),Pacific Ocean - South West,New Zealand,174.2479817|-35.22754213,Rattus rattus
