Avonet_Species,Genus,Family,Order,Habitat,Primary.Lifestyle,Mass,Status,Source,scientificName,Bird_Type_Coarse,Volancy,IslandEndemic,Volancy_Source,Migratory_status,Extent_of_occurrence_km2,Generation_length_yrs,Neartic,Paleartic,Afrotropical,Neotropical,Indomalayan,Australasian,Oceanic,Breeding_Distribution,Number_islands_extant,Parasite,Mound,NestSite_ground,NestSite_tree,NestSite_nontree,NestSite_cliff_bank,NestSite_underground,NestSite_waterbody,NestSite_termite_ant,Bird_Type
Eurostopodus exul,Eurostopodus,Caprimulgidae,Caprimulgiformes,Forest,Aerial,77,Extant,,Eurostopodus exul,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Falco araeus,Falco,Falconidae,Falconiformes,Forest,Insessorial,79.785,Extant,,Falco araeus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,2000,6.2,0,0,1,0,0,0,0,,,0,0,0,1,1,1,0,0,0,Landbirds
Falco punctatus,Falco,Falconidae,Falconiformes,Forest,Generalist,167.406666666667,Extant,,Falco punctatus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,880,6.2,0,0,1,0,0,0,0,,,0,0,0,1,0,1,0,0,0,Landbirds
Ferminia cerverai,Ferminia,Troglodytidae,Passeriformes,Wetland,Insessorial,26,Extant,,Ferminia cerverai,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,1,0,0,0,0,1,0,0,0,0,Landbirds
Foudia aldabrana,Foudia,Ploceidae,Passeriformes,Forest,Insessorial,24.505,Extant,,Foudia aldabrana,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,Landbirds
Foudia consobrina,Foudia,Ploceidae,Passeriformes,Forest,Insessorial,24.51,Extant,,Foudia consobrina,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Foudia delloni,Foudia,Ploceidae,Passeriformes,Forest; Woodland,Insessorial,19.2333333333333,Extinct,Genus average,Foudia delloni,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Foudia flavicans,Foudia,Ploceidae,Passeriformes,Forest,Insessorial,15.3266666666667,Extant,,Foudia flavicans,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,12,3.6,0,0,1,0,0,0,0,,,0,0,0,1,0,0,0,0,0,Landbirds
Foudia rubra,Foudia,Ploceidae,Passeriformes,Forest,Insessorial,17.7,Extant,,Foudia rubra,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,29,3.6,0,0,1,0,0,0,0,Islands,2,0,0,0,1,0,0,0,0,0,Landbirds
Fratercula arctica,Fratercula,Alcidae,Charadriiformes,Marine,Aquatic,593.006666666667,Extant,,Fratercula arctica,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,20800000,21.6,1,1,0,0,0,0,0,,,0,0,0,0,0,1,1,0,0,Landbirds
Fregata aquila,Fregata,Fregatidae,Suliformes,Marine,Aerial,1620,Extant,,Fregata aquila,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,Seabirds
Fregetta maoriana,Fregetta,Oceanitidae,Procellariiformes,Marine,Aerial,34.5,Extant,,Fregetta maoriana,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,0,0,1,1,0,0,Seabirds
Fringilla polatzeki,Fringilla,Fringillidae,Passeriformes,Forest,Terrestrial,30.3,Extant,,Fringilla polatzeki,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,60,5.7,0,1,0,0,0,0,0,,,0,0,0,1,0,0,0,0,0,Landbirds
Fulica alai,Fulica,Rallidae,Gruiformes,Wetland,Aquatic,459,Extant,,Fulica alai,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,59600,7,0,0,0,0,0,1,1,,,0,0,0,0,0,0,0,1,0,Landbirds
Gallinula comeri,Gallinula,Rallidae,Gruiformes,Grassland,Terrestrial,512.995,Extant,,Gallinula comeri,Landbirds,Flightless,Yes,Sayol et al. 2020 Sci Adv,not a migrant,70,5.9,0,0,1,0,0,0,0,,,0,0,0,0,1,0,0,0,0,Flightless Landbirds
Gallinula nesiotis,Gallinula,Rallidae,Gruiformes,Grassland; NA; Wetland,Aquatic; Generalist; Terrestrial,454.499411764706,Extinct,Genus average,Gallinula nesiotis,Landbirds,Flightless,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,Flightless Landbirds
Gallirallus lafresnayanus,Gallirallus,Rallidae,Gruiformes,Forest,Terrestrial,232.540666666667,Extant,,Gallirallus lafresnayanus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,1,,,,,,,,,,Landbirds
Geospiza heliobates,Geospiza,Thraupidae,Passeriformes,Woodland,Insessorial,18,Extant,,Geospiza heliobates,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,18,3.8,0,0,0,1,0,0,0,,,0,0,0,1,1,0,0,0,0,Landbirds
Geospiza pauper,Geospiza,Thraupidae,Passeriformes,Forest,Insessorial,16,Extant,,Geospiza pauper,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,30,3.8,0,0,0,1,0,0,0,,,0,0,0,1,0,0,0,0,0,Landbirds
Geospiza psittacula,Geospiza,Thraupidae,Passeriformes,Forest,Insessorial,18.7,Extant,,Geospiza psittacula,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,26500,3.8,0,0,0,1,0,0,0,,,0,0,,,,,,,,Landbirds
Gerygone insularis,Gerygone,Acanthizidae,Passeriformes,Forest; Shrubland; Woodland,Generalist; Insessorial,6.92714285714286,Extinct,Genus average,Gerygone insularis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,,,,,,,,Landbirds
Gymnocrex talaudensis,Gymnocrex,Rallidae,Gruiformes,NA,Terrestrial,288,Extant,,Gymnocrex talaudensis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,1,,,,,,,,,,Landbirds
Gymnomyza aubryana,Gymnomyza,Meliphagidae,Passeriformes,Forest,Insessorial,195.093333333333,Extant,,Gymnomyza aubryana,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,9900,5.8,0,0,0,0,0,1,1,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Gymnomyza samoensis,Gymnomyza,Meliphagidae,Passeriformes,Forest,Insessorial,99,Extant,,Gymnomyza samoensis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,3200,5.8,0,0,0,0,0,1,1,Islands,2,0,0,0,1,0,0,0,0,0,Landbirds
Haematopus meadewaldoi,Haematopus,Haematopodidae,Charadriiformes,Coastal,Terrestrial,634.595,Extinct,Genus average,Haematopus meadewaldoi,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Hemignathus lucidus,Hemignathus,Fringillidae,Passeriformes,Forest,Insessorial,21.7375,Extinct,Genus average,Hemignathus lucidus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,1,,,,,,,,,,Landbirds
Hemignathus wilsoni,Hemignathus,Fringillidae,Passeriformes,Forest,Insessorial,27.99,Extant,,Hemignathus wilsoni,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,910,5.5,0,0,0,0,0,1,1,,,0,0,0,1,0,0,0,0,0,Landbirds
Hemiphaga chathamensis,Hemiphaga,Columbidae,Columbiformes,Forest,Insessorial,789,Extant,,Hemiphaga chathamensis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,2800,6.6,0,0,0,0,0,1,0,,,0,0,0,1,0,0,0,0,0,Landbirds
Himantopus novaezelandiae,Himantopus,Recurvirostridae,Charadriiformes,Wetland,Terrestrial,195,Extant,,Himantopus novaezelandiae,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,3300,7.3,0,0,0,0,0,1,1,Islands,2,0,0,1,0,0,0,0,0,0,Landbirds
Horornis haddeni,Horornis,Scotocercidae,Passeriformes,Forest,Generalist,24.8,Extant,,Horornis haddeni,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Humblotia flavirostris,Humblotia,Muscicapidae,Passeriformes,Forest,Insessorial,15.9,Extant,,Humblotia flavirostris,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,220,3.8,0,0,1,0,0,0,0,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Hydrobates cheimomnestes,Hydrobates,Hydrobatidae,Procellariiformes,Marine,Aerial,36.705,Extant,,Hydrobates cheimomnestes,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,0,0,1,1,0,0,Seabirds
Hydrobates homochroa,Hydrobates,Hydrobatidae,Procellariiformes,Marine,Aerial,36.9,Extant,,Hydrobates homochroa,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,434000,16,1,0,0,1,0,0,0,,,0,0,0,0,0,1,1,0,0,Seabirds
Hydrobates leucorhous,Hydrobates,Hydrobatidae,Procellariiformes,Marine,Aerial,36.705,Extant,,Hydrobates leucorhous,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,330000000,13,0,0,0,0,0,1,0,,,0,0,0,0,0,1,1,0,0,Seabirds
Hydrobates matsudairae,Hydrobates,Hydrobatidae,Procellariiformes,Marine,Aerial,62,Extant,,Hydrobates matsudairae,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,Seabirds
Hydrobates monorhis,Hydrobates,Hydrobatidae,Procellariiformes,Marine,Aerial,39.8,Extant,,Hydrobates monorhis,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,Seabirds
Hydrobates socorroensis,Hydrobates,Hydrobatidae,Procellariiformes,Marine,Aerial,36.705,Extant,,Hydrobates socorroensis,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,0,0,1,1,0,0,Seabirds
Hymenolaimus malacorhynchos,Hymenolaimus,Anatidae,Anseriformes,Riverine,Aquatic,829.993333333333,Extant,,Hymenolaimus malacorhynchos,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,199000,7.1,0,0,0,0,0,1,1,Islands,2,0,0,1,1,1,1,0,0,0,Landbirds
Hypotaenidia dieffenbachii,Hypotaenidia,Rallidae,Gruiformes,Forest; Grassland; Shrubland; Wetland,Terrestrial,400.495,Extinct,Genus average,Hypotaenidia dieffenbachii,Landbirds,Flightless,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Flightless Landbirds
Hypotaenidia pacifica,Hypotaenidia,Rallidae,Gruiformes,Forest; Grassland; Shrubland; Wetland,Terrestrial,400.495,Extinct,Genus average,Hypotaenidia pacifica,Landbirds,Flightless,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Flightless Landbirds
Hypsipetes borbonicus,Hypsipetes,Pycnonotidae,Passeriformes,Forest,Insessorial,55.3,Extant,,Hypsipetes borbonicus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,1,1,0,0,0,0,Landbirds
Hypsipetes olivaceus,Hypsipetes,Pycnonotidae,Passeriformes,Forest,Insessorial,74.9933333333333,Extant,,Hypsipetes olivaceus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,1,1,0,0,0,0,Landbirds
