scientificName,Common_name,Original_rodent_attributed_IUCN,Rodent_attribution_source,Reported_study_rodent,Study_notes,Article_secondary_same_data,redlistCategory,Synonyms_or_previous_lump,Rodent_attributed_final,Study_rodent_final,Rodent_primary,Rodent_only_primary,Article,Study_ID,Evidence_category,Evidence_effect,Evidence_method,Predation_type,Hypothesis_supported,Percent_nests_or_individuals_predated,Predator_and_prey_population_data,Experiment_control_site_or_spatial_variation,Sample_size_greater_than_1,Note_experiment_sample_size,Experiment_confounding_variables_included,Experiment_BACI,Study_location,Latitude,Longitude,Order,Mass,Bird_Type_Coarse,Nest_Site_Cat
Amaurocichla bocagii,Sao Tome Short-tail,Rattus rattus,Rodent attribution from IUCN.,,,,Vulnerable,"",Rattus rattus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,7,Landbirds,
Amaurornis magnirostris,Talaud Bush-hen,Rattus argentiventer (native),Rodent attribution from IUCN.,,,,Vulnerable,"",Rattus argentiventer,,0,0,,,,,,,,,,,,,,,,,,Gruiformes,250,Landbirds,
Amazona agilis,Black-billed Amazon,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Endangered,"",Rattus norvegicus,,0,0,,,,,,,,,,,,,,,,,,Psittaciformes,213,Landbirds,Vegetation
Amazona agilis,Black-billed Amazon,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Endangered,"",Rattus rattus,,0,0,,,,,,,,,,,,,,,,,,Psittaciformes,213,Landbirds,Vegetation
Amazona collaria,Yellow-billed Amazon,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Vulnerable,"",Rattus norvegicus,,1,0,,,,,,,,,,,,,,,,,,Psittaciformes,187,Landbirds,Vegetation
Amazona collaria,Yellow-billed Amazon,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Vulnerable,"",Rattus rattus,,1,0,,,,,,,,,,,,,,,,,,Psittaciformes,187,Landbirds,Vegetation
Amazona vittata,Puerto Rican Amazon,Rattus rattus,Rodent attribution from IUCN.,Rattus rattus,"""""""""Since 2000 there have been 3–5 active nests, with fledg- ling production ranging from two to eight (Table 2). Rats and mongooses have each been implicated in losses of young, with annual losses to mongooses of up to 50% of wild-produced fledglings, and an undetermined number of rat-induced nest, egg or chick failures (Table 2)."""""""" """"""""Rat predation was indicated in 2002 at one nesting cavity""""""""","",Critically Endangered,"",Rattus rattus,Rattus rattus,0,0,"Engeman, R., Whisson, D., Quinn, J., Cano, F., Quiñones, P. and White Jr, T.H., 2006. Monitoring invasive mammalian predator populations sharing habitat with the critically endangered Puerto Rican parrot Amazona vittata. Oryx, 40(1), pp.95-102.",210,Predation,Predation,Predation,Unknown,1,,0,,,"",,,Caribbean National Forest,18.2951,-65.8,Psittaciformes,279.286666666667,Landbirds,Cliff-face
Amytornis woodwardi,White-throated Grasswren,Rattus rattus,Rodent attribution from IUCN.,,,,Endangered,"",Rattus rattus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,35.0666666666667,Landbirds,Vegetation
Anas eatoni,Southern Pintail,Rattus norvegicus,Rodent attribution from IUCN.,,,,Vulnerable,"",Rattus norvegicus,,1,0,,,,,,,,,,,,,,,,,,Anseriformes,944.613333333333,Landbirds,Cliff-face
Anas laysanensis,Laysan Duck,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,Rattus,"""""""""Since the severe range contraction of the species from the main Hawaiian Islands after the introduction of rats"""""""". Second REF: """"""""Fossil and subfossil evidence indicates that Laysan Ducks were widespread in the Hawaiian Islands prior to the arrival of rats (Rattus spp.) and occurred on Hawai‘i, Moloka‘i, O‘ahu, Maui, and Kaua‘i (USFWS 2004).... Laysan Ducks disappeared from the main Hawaiian Islands 800– 900 years ago after rats were introduced""""""""","VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf",Critically Endangered,"",Rattus exulans,Rattus exulans,0,0,BirdLife International. 2018. Anas laysanensis. The IUCN Red List of Threatened Species 2018: e.T22680203A130697270. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22680203A130697270.en. Accessed on 02 December 2023.,64,Population,Abundance,Timing,"",0,,0,,,"",,,Hawaii,19.8987,-155.6659,Anseriformes,843.413333333333,Landbirds,Ground
