scientificName,Article,Article_secondary_same_data,Evidence_category,Evidence_effect,Evidence_method,Study_rodent_final,Exclude_row,Sample_size_greater_than_1,Predation_type,Sample_size_nests_monitored,Hypothesis_supported,Percent_nests_or_individuals_predated,Predator_and_prey_population_data,Experiment_control_site_or_spatial_variation,Note_experiment_sample_size,Experiment_confounding_variables_included,Experiment_BACI,Study_location,Latitude,Longitude,Study_notes,Study_ID,Reported_study_rodent,Study_rodent_notes,key
Zenaida graysoni,BirdLife International. 2020. Zenaida graysoni. The IUCN Red List of Threatened Species 2020: e.T22690740A178409463. https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T22690740A178409463.en. Accessed on 20 January 2024.,"",Predation,Predation,Predation,Mus musculus,,,Chicks,"",1,,0,,"",,,Revillagigedo Islands,18.798,-110.9754,"""""mice remain an issue on the island and must be removed due to their predation of dove chicks (J. Lowen in litt. 2020)""""",199,Mus musculus,,Zenaida graysoni_Mus musculus
Larus heermanni,"Bowen, T., Velarde, E., Anderson, D.W. and Marlett, S.A., 2015. Federico Craveri and changes in nesting seabirds on Isla Rasa, Gulf of California, since 1856. The Southwestern Naturalist, pp.1-5.","",Population,Abundance,Timing,Rattus rattus,,,"","",1,,0,,"",,,Isla Rasa,28.8236,-112.98,"""""Egg collecting gradually decreased after 1964 when Isla Rasa was made a Nature Reserve and Migratory Bird Refuge (Ezcurra et al., 2002), but black rats (Rattus rattus) and house mice (Mus musculus), probably introduced during the guano mining era, continued to impact the breeding success of seabirds on the island. Since the eradication of these two rodents in 1995, the breeding success of Heermann’s gulls in rocky areas, where rodents had their greatest impact, has doubled, and the elegant tern nesting population has more than tripled (E. Velarde, pers. observ.).""""",200,"Rattus rattus, Mus musculus",,Larus heermanni_Rattus rattus
Larus heermanni,"Bowen, T., Velarde, E., Anderson, D.W. and Marlett, S.A., 2015. Federico Craveri and changes in nesting seabirds on Isla Rasa, Gulf of California, since 1856. The Southwestern Naturalist, pp.1-5.","",Population,Abundance,Timing,Mus musculus,,,"","",1,,0,,"",,,Isla Rasa,28.8236,-112.98,"""""Egg collecting gradually decreased after 1964 when Isla Rasa was made a Nature Reserve and Migratory Bird Refuge (Ezcurra et al., 2002), but black rats (Rattus rattus) and house mice (Mus musculus), probably introduced during the guano mining era, continued to impact the breeding success of seabirds on the island. Since the eradication of these two rodents in 1995, the breeding success of Heermann’s gulls in rocky areas, where rodents had their greatest impact, has doubled, and the elegant tern nesting population has more than tripled (E. Velarde, pers. observ.).""""",200,"Rattus rattus, Mus musculus",,Larus heermanni_Mus musculus
Thalasseus elegans,"Brooke, M.D.L., Bonnaud, E., Dilley, B.J., Flint, E.N., Holmes, N.D., Jones, H.P., Provost, P., Rocamora, G., Ryan, P.G., Surman, C. and Buxton, R.T., 2018. Seabird population changes following mammal eradications on islands. Animal Conservation, 21(1), pp.3-12.","",Population,Abundance,Temporal,Rattus rattus,,1,"","",1,,1,0,181 populations,1,0,Isla Rasa,28.8236,-112.98,"Supplementary file provides """"lambda"""" values relative to rat eradications. The lambda value is >1 (population growth). The data is unpublished and raw data is not provided.",201,"Rattus rattus, Mus musculus",,Thalasseus elegans_Rattus rattus
Thalasseus elegans,"Brooke, M.D.L., Bonnaud, E., Dilley, B.J., Flint, E.N., Holmes, N.D., Jones, H.P., Provost, P., Rocamora, G., Ryan, P.G., Surman, C. and Buxton, R.T., 2018. Seabird population changes following mammal eradications on islands. Animal Conservation, 21(1), pp.3-12.","",Population,Abundance,Temporal,Mus musculus,,1,"","",1,,1,0,181 populations,1,0,Isla Rasa,28.8236,-112.98,"Supplementary file provides """"lambda"""" values relative to rat eradications. The lambda value is >1 (population growth). The data is unpublished and raw data is not provided.",201,"Rattus rattus, Mus musculus",,Thalasseus elegans_Mus musculus
Synthliboramphus scrippsi,"Newton, K.M., McKown, M., Wolf, C., Gellerman, H., Coonan, T., Richards, D., Harvey, A.L., Holmes, N., Howald, G., Faulkner, K. and Tershy, B.R., 2016. Response of native species 10 years after rat eradication on Anacapa Island, California. Journal of Fish and Wildlife Management, 7(1), pp.72-85.","",Population,Reproductive success,Spatiotemporal,Rattus rattus,,1,"","",1,,1,1,2,0,1,Anacapa and Santa Barbara Islands,34.0044,-119.3996,"""""We found a significant difference between pre- and post-eradication time periods for two of the three variables examined: proportion of eggs hatched clutch-1 (t-test, t(3,1) = -3.2547, p = 0.0237) and rodent depredation rates on eggs (t(3,1) = 3.4301, p = 0.0208). While there was no significant difference in percent occupancy, 191% more Scripp’s murrelet eggs were hatching and 94% fewer nests were depredated on Anacapa Island post-eradication (Figure 2). These results indicate that, compared to the control island, there was a significant effect of the rat eradication on Scripps’s murrelet breeding.""""",202,Rattus rattus,,Synthliboramphus scrippsi_Rattus rattus
Synthliboramphus scrippsi,"Whitworth, D.L., Carter, H.R. and Gress, F., 2013. Recovery of a threatened seabird after eradication of an introduced predator: Eight years of progress for Scripps’s murrelet at Anacapa Island, California. Biological Conservation, 162, pp.52-59.","Newton, K.M., McKown, M., Wolf, C., Gellerman, H., Coonan, T., Richards, D., Harvey, A.L., Holmes, N., Howald, G., Faulkner, K. and Tershy, B.R., 2016. Response of native species 10 years after rat eradication on Anacapa Island, California. Journal of Fish and Wildlife Management, 7(1), pp.72-85.; Whitworth, D.L., Carter, H.R., Young, R.J., Koepke, J.S., Gress, F. and Fangman, S., 2005. Initial recovery of Xantus's Murrelets following rat eradication on Anacapa Island, California. Marine Ornithology, 33, pp.131-137.; Whitworth, D.L. and Carter, H.R., 2018. Population trends for Scripps's Murrelet following eradication of black rats. The Journal of Wildlife Management, 82(1), pp.232-237.",Population,Reproductive success,Temporal,Rattus rattus,,0,"","",1,,1,,1,0,0,Anacapa Island,34.0044,-119.3996,"""""Baseline (2001–2002) and post-eradication (2003–2010) monitoring in ten sea caves recorded a nearly 3-fold increase in hatching success (30% versus 85%), due mainly to a drastic reduction in egg predation."""" """"Differences in the frequencies of nest fates were observed in the post- and pre-eradication periods (G = 20.06, df = 2, P < 0.001). Overall hatching success was 64%, but was much higher (Gc = 9.65, df = 1, P < 0.005) post-eradication (80%) than pre-eradication (42%). Post-eradication hatching success was consistently high (73%–83%; Table 1, Fig. 2); pre-eradication, it was quite variable (18%–78%). Note: rat eradication completed 2002, and pre-eradication data starts 2000/2001.",203,Rattus rattus,,Synthliboramphus scrippsi_Rattus rattus
Synthliboramphus scrippsi,"Whitworth, D.L., Carter, H.R. and Gress, F., 2013. Recovery of a threatened seabird after eradication of an introduced predator: Eight years of progress for Scripps’s murrelet at Anacapa Island, California. Biological Conservation, 162, pp.52-59.","Whitworth, D.L., Carter, H.R., Young, R.J., Koepke, J.S., Gress, F. and Fangman, S., 2005. Initial recovery of Xantus's Murrelets following rat eradication on Anacapa Island, California. Marine Ornithology, 33, pp.131-137.; Whitworth, D.L., Carter, H.R., Parker, M.W., Gress, F. and Booker, M., 2018. Long-term monitoring of Scripps's Murrelet and Guadalupe Murrelet at San Clemente Island, California: evaluation of baseline data in 2012–2016. Western North American Naturalist, 78(3), pp.457-473.; Whitworth, D.L., Carter, H.R., Dvorak, T.M., Farley, L.S. and King, J.L., 2014. Status, distribution, and conservation of Scripps's murrelet at Santa Catalina Island, California. Monographs of the Western North American Naturalist, 7(1), pp.321-338.",Predation,Predation,Predation,Rattus rattus,,,"Eggs, adults",8,1,88,0,,"",,,Anacapa Island,34.0044,-119.3996,"""""Despite the difficult access to sea caves, rat-depredated eggs were recorded in seven of eight murrelet occupied caves before eradication.""""",204,Rattus rattus,,Synthliboramphus scrippsi_Rattus rattus
Synthliboramphus scrippsi,"Murray, K.G., Winnett-Murray, K., Eppley, Z.A., Hunt Jr, G.L. and Schwartz, D.B., 1983. Breeding biology of the Xantus’ Murrelet. The Condor, 85(1), pp.12-21.","",Predation,Predation,Predation,Peromyscus maniculatus,,,"Eggs, chicks",470,1,44,0,,"",,,Santa Barbara Island,33.4756,-119.0373,"From IUCN quote: """"Deer Mice Peromyscus maniculatus anacapae (native to nearby Cedros Island) have also been introduced to the San Benito Islands. Deer Mice depredated 46% of all monitored eggs on Santa Barbara (Murray et al. 1983), which is the largest known breeding site for the species (Howard et al. 2014). However, on Anacapa, Deer Mice were established long before the introduction of rats, precluding them from consideration as the cause of declines there (Jones et al. 2005).""""",205,Peromyscus maniculatus,,Synthliboramphus scrippsi_Peromyscus maniculatus
Charadrius sanctaehelenae,"Burns, F., McCulloch, N., Székely, T. and Bolton, M., 2013. The impact of introduced predators on an island endemic, the St Helena Plover, Charadrius sanctaehelenae. Bird Conservation International, 23(2), pp.125-135.","",Predation,Predation,Predation,Rattus rattus,,,Eggs,29,1,10.3,0,,"",,,Saint Helena Island,-27.3852,153.2345,Figure 1,206,"Rattus rattus, Rattus norvegicus",,Charadrius sanctaehelenae_Rattus rattus
Charadrius sanctaehelenae,"Burns, F., McCulloch, N., Székely, T. and Bolton, M., 2013. The impact of introduced predators on an island endemic, the St Helena Plover, Charadrius sanctaehelenae. Bird Conservation International, 23(2), pp.125-135.","",Predation,Predation,Predation,Rattus norvegicus,,,Eggs,29,1,10.3,0,,"",,,Saint Helena Island,-27.3852,153.2345,Figure 1,206,"Rattus rattus, Rattus norvegicus",,Charadrius sanctaehelenae_Rattus norvegicus
Charadrius sanctaehelenae,"Oppel, S., Burns, F., Vickery, J., George, K., Ellick, G., Leo, D. and Hillman, J.C., 2014. Habitat‐specific effectiveness of feral cat control for the conservation of an endemic ground‐nesting bird species. Journal of Applied Ecology, 51(5), pp.1246-1254.","",Population,Reproductive success,Spatiotemporal,Rattus rattus,,,"","",0,,1,,"",,,Saint Helena Island,-27.3852,153.2345,"Figure 1, 2",207,"Rattus rattus, Rattus norvegicus",,Charadrius sanctaehelenae_Rattus rattus
Charadrius sanctaehelenae,"Oppel, S., Burns, F., Vickery, J., George, K., Ellick, G., Leo, D. and Hillman, J.C., 2014. Habitat‐specific effectiveness of feral cat control for the conservation of an endemic ground‐nesting bird species. Journal of Applied Ecology, 51(5), pp.1246-1254.","",Population,Reproductive success,Spatiotemporal,Rattus norvegicus,,,"","",0,,1,,"",,,Saint Helena Island,-27.3852,153.2345,"Figure 1, 2",207,"Rattus rattus, Rattus norvegicus",,Charadrius sanctaehelenae_Rattus norvegicus
Amazona vittata,"Engeman, R., Whisson, D., Quinn, J., Cano, F., Quiñones, P. and White Jr, T.H., 2006. Monitoring invasive mammalian predator populations sharing habitat with the critically endangered Puerto Rican parrot Amazona vittata. Oryx, 40(1), pp.95-102.","",Predation,Predation,Predation,Rattus rattus,,,Unknown,"",1,,0,,"",,,Caribbean National Forest,18.2951,-65.8,"""""Since 2000 there have been 3–5 active nests, with fledg- ling production ranging from two to eight (Table 2). Rats and mongooses have each been implicated in losses of young, with annual losses to mongooses of up to 50% of wild-produced fledglings, and an undetermined number of rat-induced nest, egg or chick failures (Table 2)."""" """"Rat predation was indicated in 2002 at one nesting cavity""""",210,Rattus rattus,,Amazona vittata_Rattus rattus
Copsychus sechellarum,BirdLife International. 2021. Copsychus sechellarum. The IUCN Red List of Threatened Species 2021: e.T22709978A179276878. https://dx.doi.org/10.2305/IUCN.UK.2021-3.RLTS.T22709978A179276878.en. Accessed on 28 January 2024.,"Thorsen, M., Shorten, R., Lucking, R. and Lucking, V., 2000. Norway rats (Rattus norvegicus) on Fregate Island, Seychelles: the invasion; subsequent eradication attempts and implications for the island's fauna. Biological Conservation, 96(2), pp.133-138.",Population,Abundance,Timing,Rattus norvegicus,,,"","",0,,0,,"",,,Fregate Island,-4.5837,55.9386,Rats established on Fregate Island in 1995 but this bird was chategorised critically endangered in 1994 and threatened in 1988,211,Rattus norvegicus,,Copsychus sechellarum_Rattus norvegicus
Ramphocinclus brachyurus,"Sass, E.M., Mortensen, J.L. and Reed, J.M., 2017. Habitat suitability models indicate the White-breasted Thrasher Ramphocinclus brachyurus occupies all suitable habitat in Saint Lucia. Bird Conservation International, 27(1), pp.96-110.","",Population,Abundance,Spatial,Rattus rattus,,1,"","",0,,1,1,6667 pixels,1,0,Saint Lucia,13.9094,-60.9789,"Rats explain 1.9% of variation in bird habitat preference in one model (negative association), and does not appear in 2 other models. For sample size: Table S2, """"8 pixels (0.12%)""""; for relationship Table 2 and Figure S4",213,Rattus rattus,,Ramphocinclus brachyurus_Rattus rattus
Foudia aldabrana,BirdLife International. 2021. Foudia aldabrana. The IUCN Red List of Threatened Species 2021: e.T103811282A180471815. https://dx.doi.org/10.2305/IUCN.UK.2021-3.RLTS.T103811282A180471815.en. Accessed on 03 February 2024.,"",Predation,Predation,Predation,Rattus rattus,,,"Eggs, chicks","",1,,0,,"",,,"Aldabra Atoll, Seychelles",-9.4237,46.3433,"""""Nest predators act across the island, and nesting success may be very low; with 48% of nestlings and 81% of eggs taken by predators such as Black Rats Rattus rattus (Safford 2013).""""",214,Rattus rattus,,Foudia aldabrana_Rattus rattus
Catharus bicknelli,"Townsend, J. M., Rimmer, C. C., Brocca, J., McFarland, K. P. and Townsend, A. K. (2009) Predation of a wintering migratory songbird by introduced rats: can nocturnal roosting behavior serve as predator avoidance? Condor 111: 565–569.","",Predation,Predation,Predation,Rattus rattus,,,Adults,53,1,9,0,,"",,,"Pueblo Viejo and Loma La Canela, Dominican Republic",18.401,-70.7659,"""""Depredation by introduced rats was the only cause of mortality among 53 radio-tagged individuals monitored between January and March over multiple years; five (9%) marked individuals were depredated.""""",215,"Rattus rattus, Rattus norvegicus",,Catharus bicknelli_Rattus rattus
Catharus bicknelli,"Townsend, J. M., Rimmer, C. C., Brocca, J., McFarland, K. P. and Townsend, A. K. (2009) Predation of a wintering migratory songbird by introduced rats: can nocturnal roosting behavior serve as predator avoidance? Condor 111: 565–569.","",Predation,Predation,Predation,Rattus norvegicus,,,Adults,53,1,9,0,,"",,,"Pueblo Viejo and Loma La Canela, Dominican Republic",18.401,-70.7659,"""""Depredation by introduced rats was the only cause of mortality among 53 radio-tagged individuals monitored between January and March over multiple years; five (9%) marked individuals were depredated.""""",215,"Rattus rattus, Rattus norvegicus",,Catharus bicknelli_Rattus norvegicus
Ptychoramphus aleuticus,"Newton, K.M., McKown, M., Wolf, C., Gellerman, H., Coonan, T., Richards, D., Harvey, A.L., Holmes, N., Howald, G., Faulkner, K. and Tershy, B.R., 2016. Response of native species 10 years after rat eradication on Anacapa Island, California. Journal of Fish and Wildlife Management, 7(1), pp.72-85.","Whitworth, D.L., Carter, H.R. and Gress, F., 2013. Recovery of a threatened seabird after eradication of an introduced predator: Eight years of progress for Scripps’s murrelet at Anacapa Island, California. Biological Conservation, 162, pp.52-59; WHITWORTH, D.L., HARVEY, A.L., CARTER, H.R., YOUNG, R.J., KOEPKE, J.S. and MAZURKIEWICZ, D.M., 2015. Breeding of Cassin's auklets Ptychoramphus aleuticus at Anacapa Island, California, after eradication of black rats Rattus rattus. Marine Ornithology, 43, pp.19-24.",Population,Abundance,Timing,Rattus rattus,,1,"","",1,,1,1,8,0,0,Anacapa Island,34.0044,-119.3996,"""""No Cassin’s auklet nests were found on Anacapa Island pre-eradication, with surveys dating back to 1910 (Whitworth et al. 2015). Breeding Cassin’s auklets (two nests) were found on Anacapa Island for the first time in 2003, post-eradication (Whitworth et al. 2005; Whitworth et al. 2015). Few if any nests were found between 2004 – 2008 (five total). In 2009, 11 Cassin’s auklet nests were found and 3 of these nests contained eggs or chicks (Whitworth et al. 2012; Whitworth et al. 2015). Overall, post-eradication (2003 – 2012), Whitworth et al. (2015) found 42 nests in 6 shoreline areas, 17 of which were confirmed nests, and 25 were nests where breeding was inferred. """"",216,Rattus rattus,,Ptychoramphus aleuticus_Rattus rattus
Hemignathus lucidus,BirdLife International. 2020. Hemignathus lucidus. The IUCN Red List of Threatened Species 2020: e.T103823595A181392751. https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T103823595A181392751.en. Accessed on 04 February 2024.,"",Population,Abundance,Timing,Rattus rattus,,,"","",1,,0,,"",,,O'hau,21.4389,-158.0001,"""""This species went extinct sometime around the start of the 20th century… Multiple invasive species were already established on Oahu in the 19th century, with the arrival of Rattus rattus shortly followed by Small Indian Mongoose""""",217,Rattus rattus,,Hemignathus lucidus_Rattus rattus
Spheniscus humboldti,"Simeone, A. and Luna-Jorquera, G., 2012. Estimating rat predation on Humboldt Penguin colonies in north-central Chile. Journal of Ornithology, 153, pp.1079-1085.","",Predation,Predation,Predation,Rattus rattus,,,Eggs,"",1,,0,,"",,,Algarrobo Island,15.6684,-63.618,"""""We investigated the effects of rat predation on Humboldt Penguins (Spheniscus humboldti) by simulating unattended clutches with domestic Chicken eggs. Experiments were independently set at two Humboldt Penguin colonies in north (Pa ́jaros Island, 29°S) and central Chile (Algarrobo Island, 33°S). At both colonies, eggs were primarily predated by rats (Rattus rattus = 70.8""""",221,"Rattus rattus, Rattus norvegicus",,Spheniscus humboldti_Rattus rattus
Spheniscus humboldti,"Simeone, A. and Luna-Jorquera, G., 2012. Estimating rat predation on Humboldt Penguin colonies in north-central Chile. Journal of Ornithology, 153, pp.1079-1085.","",Predation,Predation,Predation,Rattus norvegicus,,,Eggs,"",1,,0,,"",,,Algarrobo Island,15.6684,-63.618,"""""We investigated the effects of rat predation on Humboldt Penguins (Spheniscus humboldti) by simulating unattended clutches with domestic Chicken eggs. Experiments were independently set at two Humboldt Penguin colonies in north (Pa ́jaros Island, 29°S) and central Chile (Algarrobo Island, 33°S). At both colonies, eggs were primarily predated by rats (Rattus rattus = 70.8""""",221,"Rattus rattus, Rattus norvegicus",,Spheniscus humboldti_Rattus norvegicus
Spheniscus humboldti,BirdLife International. 2020. Spheniscus humboldti. The IUCN Red List of Threatened Species 2020: e.T22697817A182714418. https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T22697817A182714418.en. Accessed on 04 February 2024.,"",Predation,Predation,Predation,Rattus rattus,,,Chicks,"",1,,0,,"",,,Punta San Juan,13.2059,-88.5384,"""""Introduced rats (House Rat Rattus rattus and Brown Rat R. norvegicus) predate unattended eggs at several colonies in north and central Chile (Simeone and Luna-Jorquera 2012) and have also been recorded killing chicks in Punta San Juan, Peru (S. Cárdenas-Alayza pers. obs.).""""",222,"Rattus rattus, Rattus norvegicus",,Spheniscus humboldti_Rattus rattus
Spheniscus humboldti,BirdLife International. 2020. Spheniscus humboldti. The IUCN Red List of Threatened Species 2020: e.T22697817A182714418. https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T22697817A182714418.en. Accessed on 04 February 2024.,"",Predation,Predation,Predation,Rattus norvegicus,,,Chicks,"",1,,0,,"",,,Punta San Juan,13.2059,-88.5384,"""""Introduced rats (House Rat Rattus rattus and Brown Rat R. norvegicus) predate unattended eggs at several colonies in north and central Chile (Simeone and Luna-Jorquera 2012) and have also been recorded killing chicks in Punta San Juan, Peru (S. Cárdenas-Alayza pers. obs.).""""",222,"Rattus rattus, Rattus norvegicus",,Spheniscus humboldti_Rattus norvegicus
Pterodroma alba,"Gangloff, B., Raust, P., Thibault, J.C. and Bretagnolle, V., 2009. Notes on the Phoenix Petrel (Pterodroma alba) from Hatuta'a Island, Marquesas. Waterbirds, 32(3), pp.453-458.","",Predation,Predation,Predation,Rattus exulans,,,"","",0,,0,,"",,,Hatuta’a Island,-7.9172,-140.5679,"""""No evidence for Pacific Rat predation on eggs or chicks was found.""""",223,Rattus exulans,,Pterodroma alba_Rattus exulans
Larus audouinii,"Prieto, J., González-Solís, J., Ruiz, X. and Jover, L., 2003. Can rats prey on gull eggs? An experimental approach. Biodiversity & Conservation, 12, pp.2477-2486.","",Predation,Predation,Predation,Rattus rattus,,,"","",0,,0,,"",,,Chafarinas Islands,35.2943,-2.9526,"""""Rats inhabiting breeding areas of gulls can scavenge on broken eggs rolled out of the nest or on eggs with softened shells after nest desertion, but it is unlikely that they prey on natural gull nests guarded by parents. We suggest that introduced black rats on Mediterranean islands can only marginally affect the productivity of gulls owing to egg predation""""",224,Rattus rattus,,Larus audouinii_Rattus rattus
Eudyptes moseleyi,"Barbraud, C., Delord, K., Le Bouard, F., Harivel, R., Demay, J., Chaigne, A. and Micol, T., 2021. Seabird population changes following mammal eradication at oceanic Saint-Paul Island, Indian Ocean. Journal for Nature Conservation, 63, p.126049.","",Population,Abundance,Timing,Rattus rattus,,,"","",0,,0,,"",,,Saint-Paul Island,-38.7202,77.5189,"Northern rockhopper penguin were breeding on the island before and after rat eradication (Table 3). Number of breeding pairs or individuals were not provided, and number of chicks were recorded but not compared (Table 2)",225,Rattus rattus,,Eudyptes moseleyi_Rattus rattus
Eudyptes moseleyi,BirdLife International. 2020. Eudyptes moseleyi. The IUCN Red List of Threatened Species 2020: e.T22734408A184698049. https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T22734408A184698049.en. Accessed on 06 February 2024.,"",Predation,Predation,Predation,Mus musculus,,,"","",0,,0,,"",,,Gough Island,-40.3186,-9.9353,"""""Introduced house mice Mus musculus on Gough Island are known predators of seabirds but have not yet been recorded preying on penguins. The same applies to introduced rats Rattus norvegicus on Amsterdam Island and R. rattus on Tristan da Cunha.""""",226,Mus musculus,,Eudyptes moseleyi_Mus musculus
Eudyptes moseleyi,BirdLife International. 2020. Eudyptes moseleyi. The IUCN Red List of Threatened Species 2020: e.T22734408A184698049. https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T22734408A184698049.en. Accessed on 06 February 2024.,"",Predation,Predation,Predation,Rattus norvegicus,,,"","",0,,0,,"",,,Amsterdam Island,-37.8332,77.5505,"""""Introduced house mice Mus musculus on Gough Island are known predators of seabirds but have not yet been recorded preying on penguins. The same applies to introduced rats Rattus norvegicus on Amsterdam Island and R. rattus on Tristan da Cunha.""""",227,Rattus norvegicus,,Eudyptes moseleyi_Rattus norvegicus
Eudyptes moseleyi,BirdLife International. 2020. Eudyptes moseleyi. The IUCN Red List of Threatened Species 2020: e.T22734408A184698049. https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T22734408A184698049.en. Accessed on 06 February 2024.,"",Predation,Predation,Predation,Rattus rattus,,,"","",0,,0,,"",,,Tristan da Cunha,-37.1052,-12.2777,"""""Introduced house mice Mus musculus on Gough Island are known predators of seabirds but have not yet been recorded preying on penguins. The same applies to introduced rats Rattus norvegicus on Amsterdam Island and R. rattus on Tristan da Cunha.""""",228,Rattus rattus,,Eudyptes moseleyi_Rattus rattus
Branta sandvicensis,"VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf",BirdLife International. 2021. Branta sandvicensis. The IUCN Red List of Threatened Species 2021: e.T22679929A194369606. https://dx.doi.org/10.2305/IUCN.UK.2021-3.RLTS.T22679929A194369606.en. Accessed on 10 February 2024.,Predation,Predation,Predation,Rattus rattus,,,"Eggs, chicks, adults","",1,,0,,"",,,Hawaii,19.8987,-155.6659,"""""Predators known to take Nēnē eggs, goslings, or adults include dogs (Canis familiaris), feral pigs (Sus scrofa), feral cats (Felis catus), small Indian mongooses (Herpestes auropunctatus), and black, Norway, and Pacific rats (R. rattus, norvegicus, and exulans, respectively) (Hoshide et al. 1990, Baker and Baker 1996)."""" + """"Eggs are also predated by Black, Norway and Pacific Rats (USFWS 2004).""""",231,"Rattus rattus, Rattus norvegicus, Rattus exulans",,Branta sandvicensis_Rattus rattus
Branta sandvicensis,"VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf",BirdLife International. 2021. Branta sandvicensis. The IUCN Red List of Threatened Species 2021: e.T22679929A194369606. https://dx.doi.org/10.2305/IUCN.UK.2021-3.RLTS.T22679929A194369606.en. Accessed on 10 February 2024.,Predation,Predation,Predation,Rattus norvegicus,,,"Eggs, chicks, adults","",1,,0,,"",,,Hawaii,19.8987,-155.6659,"""""Predators known to take Nēnē eggs, goslings, or adults include dogs (Canis familiaris), feral pigs (Sus scrofa), feral cats (Felis catus), small Indian mongooses (Herpestes auropunctatus), and black, Norway, and Pacific rats (R. rattus, norvegicus, and exulans, respectively) (Hoshide et al. 1990, Baker and Baker 1996)."""" + """"Eggs are also predated by Black, Norway and Pacific Rats (USFWS 2004).""""",231,"Rattus rattus, Rattus norvegicus, Rattus exulans",,Branta sandvicensis_Rattus norvegicus
Branta sandvicensis,"VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf",BirdLife International. 2021. Branta sandvicensis. The IUCN Red List of Threatened Species 2021: e.T22679929A194369606. https://dx.doi.org/10.2305/IUCN.UK.2021-3.RLTS.T22679929A194369606.en. Accessed on 10 February 2024.,Predation,Predation,Predation,Rattus exulans,,,"Eggs, chicks, adults","",1,,0,,"",,,Hawaii,19.8987,-155.6659,"""""Predators known to take Nēnē eggs, goslings, or adults include dogs (Canis familiaris), feral pigs (Sus scrofa), feral cats (Felis catus), small Indian mongooses (Herpestes auropunctatus), and black, Norway, and Pacific rats (R. rattus, norvegicus, and exulans, respectively) (Hoshide et al. 1990, Baker and Baker 1996)."""" + """"Eggs are also predated by Black, Norway and Pacific Rats (USFWS 2004).""""",231,"Rattus rattus, Rattus norvegicus, Rattus exulans",,Branta sandvicensis_Rattus exulans
Gallinula comeri,"Bond, A.L., Carlson, C.J. and Burgio, K.R., 2019. Local extinctions of insular avifauna on the most remote inhabited island in the world. Journal of Ornithology, 160(1), pp.49-60.","",Population,Abundance,Timing,Rattus rattus,,,"","",0,,1,,"",,,Tristan da Cunha,-37.1052,-12.2777,"""""We used recently developed Bayesian methods, and sightings of mixed certainty compiled from historical documents, to estimate the extinction date of these three species from Tristan based on specimens. We estimate that all three species were likely extirpated from Tristan between 1869 and 1880 following a period of significant habitat alteration and human overexploitation, and only the albatross had a high probability of persistence when Black Rats (Rattus rattus) arrived in 1882, the previously assumed cause of extinction for all three species.""""",232,Rattus rattus,,Gallinula comeri_Rattus rattus
Pachyptila macgillivrayi,"Barbraud, C., Delord, K., Le Bouard, F., Harivel, R., Demay, J., Chaigne, A. and Micol, T., 2021. Seabird population changes following mammal eradication at oceanic Saint-Paul Island, Indian Ocean. Journal for Nature Conservation, 63, p.126049.","",Population,Abundance,Timing,Rattus rattus,,,"","",1,,0,,"",,,Saint-Paul Island,57.1208,-170.283,"For two prion species combined: """"The most important population increases following eradication were for prions and flesh-footed shearwaters. This was particularly clear for prions which were not breeding on Saint-Paul prior to rat eradication due to rat predation. Although our population estimates are imprecise, we are quite confident in their accuracy since two independent monitoring methods gave relatively similar results for MacGillivray’s prion in colony 2."""" Also Table 3 shows this prion breeding on the island in the after eradication survey but not in the before survey",233,Rattus rattus,,Pachyptila macgillivrayi_Rattus rattus
Pachyptila macgillivrayi,"Dilley, B.J., Davies, D., Bond, A.L. and Ryan, P.G., 2015. Effects of mouse predation on burrowing petrel chicks at Gough Island. Antarctic Science, 27(6), pp.543-553.","",Predation,Predation,Predation,Mus musculus,,,Chicks,"",1,,0,,"",,,Gough Island,-40.3186,-9.9353,"""""Mice killed the chicks of the recently discovered summer-breeding MacGillivray’s prion (Pachyptila macgillivrayi Mathews), with a chick mortality rate of 82%in 2013/14 and 100% in 2014/15.""""",234,Mus musculus,,Pachyptila macgillivrayi_Mus musculus
Vini peruviana,"Seitre, J., 1992. Causes of land-bird extinctions in French Polynesia. Oryx, 26(4), pp.215-222.","",Population,Abundance,Spatial,Rattus rattus,,1,"","",1,,1,1,8,1,0,French Polynesia,-17.6797,-149.4068,Table 2,236,Rattus rattus,,Vini peruviana_Rattus rattus
