scientificName,Article,Article_secondary_same_data,Evidence_category,Evidence_effect,Evidence_method,Study_rodent_final,Exclude_row,Sample_size_greater_than_1,Predation_type,Sample_size_nests_monitored,Hypothesis_supported,Percent_nests_or_individuals_predated,Predator_and_prey_population_data,Experiment_control_site_or_spatial_variation,Note_experiment_sample_size,Experiment_confounding_variables_included,Experiment_BACI,Study_location,Latitude,Longitude,Study_notes,Study_ID,Reported_study_rodent,Study_rodent_notes,key
Columba junoniae,"Hernandez, M.A., Martín, A. and Nogales, M., 1999. Breeding success and predation on artificial nests of the endemic pigeons Bolle's Laurel Pigeon Columba bollii and White‐tailed Laurel Pigeon Columba junoniae in the laurel forest of Tenerife (Canary Islands). Ibis, 141(1), pp.52-59.","",Predation,Predation,Predation,Rattus rattus,,,Eggs,"",1,,0,,"",,,Tenerife,28.2916,-16.6291,"""""Nest predation was the more important cause of nesting failure of both species (880/0), but principally affecting the White-tailed Laurel Pigeon… Predators identified by automatic cameras showed that Black Rat Rattus rattus was the major nest predator of both pigeons""""",41,Rattus rattus,,Columba junoniae_Rattus rattus
Puffinus opisthomelas,"Velarde, E., Ruiz, E.A., Aguilar, A. and Gallo, J.P., 2015. Black-vented Shearwater Puffinus opisthomelas nesting in the Gulf of California: a major extension of breeding range. Marine Ornithology, 43, pp.249-254.","",Population,Abundance,Temporal,Rattus rattus,,,"","",1,,0,,"",,,Isla Rasa,28.8236,-112.98,"Between 2010 and 2014 we collected evidence of the presence of nesting BVSH on the island, such as increased frequency of calls heard at night, evidence of burrow activity, collection of an addled shearwater egg and photo images. For several years after the rodent eradication (1995), and even before that, BVSHs were seldom heard calling, although some individuals were sighted while boat cruises approached or left the island.",43,"Rattus rattus, Mus musculus",,Puffinus opisthomelas_Rattus rattus
Puffinus opisthomelas,"Velarde, E., Ruiz, E.A., Aguilar, A. and Gallo, J.P., 2015. Black-vented Shearwater Puffinus opisthomelas nesting in the Gulf of California: a major extension of breeding range. Marine Ornithology, 43, pp.249-254.","",Population,Abundance,Temporal,Mus musculus,,,"","",1,,0,,"",,,Isla Rasa,28.8236,-112.98,"Between 2010 and 2014 we collected evidence of the presence of nesting BVSH on the island, such as increased frequency of calls heard at night, evidence of burrow activity, collection of an addled shearwater egg and photo images. For several years after the rodent eradication (1995), and even before that, BVSHs were seldom heard calling, although some individuals were sighted while boat cruises approached or left the island.",43,"Rattus rattus, Mus musculus",,Puffinus opisthomelas_Mus musculus
Rowettia goughensis,"Cuthbert, R. and Hilton, G., 2004. Introduced house mice Mus musculus: a significant predator of threatened and endemic birds on Gough Island, South Atlantic Ocean?. Biological Conservation, 117(5), pp.483-489.","",Predation,Predation,Predation,Mus musculus,,,"Eggs, chicks",21,1,86,0,,"",,,Gough Island,-40.3186,-9.9353,"""""Two bunting nests were deserted during incubation and one nest appeared to have been predated, with small fragments of broken eggshell (indicative of rodent predation; Brown et al., 1998) scattered around the nest. Of the 12 nests in which chicks hatched, three were probably predated, with chicks disappearing from two nests (leaving no sign) and one dead 6-day-old chick being found at a nest (the other egg in this nest did not hatch). The chick appeared undamaged apart from a small round puncture wound (ca. 1 mm in diameter) located on the carpal joint of the wing, indicating predation by a small mammal, rather than a bird."""" """"Of the 21 predated nests with eggs intact enough to examine for signs of predation, 18 (86%) had been predated by mice""""",46,Mus musculus,,Rowettia goughensis_Mus musculus
Alectroenas payandeei,BirdLife International. 2017. Alectroenas payandeei (amended version of 2016 assessment). The IUCN Red List of Threatened Species 2017: e.T62759683A119206636. https://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T62759683A119206636.en. Accessed on 28 November 2023.,"",Population,Abundance,Timing,Rattus rattus,,,"","",1,,0,,"",,,Rodrigues,-19.7245,63.4272,"""""The island was used as a refurbishment station for shipping from at least 1601, presumably leading to the arrival of rats, which were noted to be present in large numbers in 1691-1693 (Leguat 1708, in Hume and Walters 2012) and likely drove the species to extinction.""""",49,Rattus rattus,,Alectroenas payandeei_Rattus rattus
Aplonis ulietensis,BirdLife International. 2017. Aplonis ulietensis (amended version of 2016 assessment). The IUCN Red List of Threatened Species 2017: e.T22734867A119212332. https://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T22734867A119212332.en. Accessed on 28 November 2023.,"",Population,Abundance,Timing,Rattus norvegicus,,,"","",1,,0,,"",,,Raiatea,-16.8164,-151.4552,"""""This Extinct species is known only from a 1774 painting of the type specimen, contemporary descriptions and a few field notes. It occurred on Raiatea (French Polynesia). An expedition to the island in 1850 failed to find the species, and it likely became extinct between 1774-1850 following the arrival of rats on the island.""""",50,Rattus norvegicus,,Aplonis ulietensis_Rattus norvegicus
Icterus oberi,"Allcorn, R.I., Hilton, G.M., Fenton, C., Atkinson, P.W., Bowden, C.G., Gray, G.A., Hulme, M., Madden, J., Mackley, E.K. and Oppel, S., 2012. Demography and breeding ecology of the critically endangered Montserrat Oriole. The Condor, 114(1), pp.227-235.","",Predation,Predation,Predation,Rattus rattus,,,Unknown,33,1,24,0,,"",,,Montserrat,16.7425,-62.1874,"""""Both rats (n = 8) and Pearly-eyed Thrashers (n = 7) were recorded in similar proportions as nest predators.""""",51,"Rattus rattus, Rattus norvegicus",,Icterus oberi_Rattus rattus
Icterus oberi,"Allcorn, R.I., Hilton, G.M., Fenton, C., Atkinson, P.W., Bowden, C.G., Gray, G.A., Hulme, M., Madden, J., Mackley, E.K. and Oppel, S., 2012. Demography and breeding ecology of the critically endangered Montserrat Oriole. The Condor, 114(1), pp.227-235.","",Predation,Predation,Predation,Rattus norvegicus,,,Unknown,33,1,24,0,,"",,,Montserrat,16.7425,-62.1874,"""""Both rats (n = 8) and Pearly-eyed Thrashers (n = 7) were recorded in similar proportions as nest predators.""""",51,"Rattus rattus, Rattus norvegicus",,Icterus oberi_Rattus norvegicus
Chasiempis sclateri,"Hammond, R.L., 2016. Daily survival rate of nests is lower in fruiting than non-fruiting tree species for a Hawaiian forest bird, the Kaua̒i ̒elepaio (Chasiempis sclateri). The Wilson Journal of Ornithology, 128(3), pp.584-592.","",Predation,Predation,Predation,Rattus rattus,,,"","",0,,0,,"",,,Kauai,22.0964,-159.5261,"""""My results support the hypothesis that tree reproductive strategy may contribute to the variability in DSR, but I did not have evidence (e.g., pictures) that the non-native black rat (Rattus rattus) was the primary predator in this study.""""",52,Rattus rattus,,Chasiempis sclateri_Rattus rattus
Zosterops chloronothos,"Nichols, R.K., Woolaver, L.G. and Jones, C.G., 2005. Breeding biology of the endangered Mauritius Olive White-eye Zosterops chloronothos. Ostrich, 76(1&2), pp.1-7.","",Predation,Predation,Predation,Rattus rattus,,,"Eggs, chicks",6,1,83,0,,"",,,"Black River Gorges National Park, Mauritius",-20.4264,57.4509,"""""Four nests, all with nestlings less than five days old, were emptied but intact which is consistent with nest predation by the highly arboreal Ship Rat Rattus rattus on Mauritius... The other nest was predated during incubation with one egg having been eaten along the longitudinal axis and with several smaller pieces of eggshell being found below the intact nest, all of which is consistent with egg predation by R. rattus""""",53,Rattus rattus,,Zosterops chloronothos_Rattus rattus
