OBJECTID,Eradication ID,Common Name,Scientific Name,Type (Animal),Year of Introduction,Data Quality,Eradication Start Date,Eradication End Date,Status (Eradication),Type (Eradication),Primary Eradication Method,Secondary Eradication Method,Tertiary Eradication Method,Primary Baiting Method,Secondary Baiting Method,Primary Toxicant,Secondary Toxicant,Contact Name,Contact Organization,Organization_Website,Island Code,Island Name,Region,Country,Archipelago,Latitude,Longitude,Area (sq km),Human Population
160,197,House Mouse,Mus musculus,Rodent,null,Good,2001,2003,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Brodifacoum,NA,null,null,null,36467,Selvagem Grande,Atlantic Ocean - North,Portugal,Salvage Islands,30.14594709,-15.86536736,2.431062827,None
337,438,Black Rat,Rattus rattus,Rodent,null,Good,2000,2002,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Diphacinone,NA,Samaniego; Araceli,Grupo de Ecologia y Conservacion de Islas,www.islas.org.mx,36426,San Jorge Oeste,Pacific Ocean - North East,Mexico,Gulf of California,31.00632429,-113.2431372,0.024567331,None
336,437,Black Rat,Rattus rattus,Rodent,null,Good,2000,2002,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Brodifacoum,NA,Samaniego; Araceli,Grupo de Ecologia y Conservacion de Islas,www.islas.org.mx,36427,San Jorge Medio,Pacific Ocean - North East,Mexico,Gulf of California,31.01222994,-113.2440806,0.140256346,None
164,205,Black Rat,Rattus rattus,Rodent,null,Good,2000,2002,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Cholecalciferol,NA,Samaniego; Araceli,Grupo de Ecologia y Conservacion de Islas,www.islas.org.mx,110000401,San Jorge Este,Pacific Ocean - North East,Mexico,Gulf of California,31.01793412,-113.2482091,0.009906497,None
2128,3178,Black Rat,Rattus rattus,Rodent,null,Satisfactory,1990,1999,Successful,Whole Island,Toxicant,NA,NA,Unknown,Unknown,Warfarin,NA,null,null,null,35096,Horn Rock,Atlantic Ocean - North,Bermuda,Bermuda (Castle Islands),32.34328463,-64.66621141,0.003362413,None
2133,3184,Brown / Norway Rat,Rattus norvegicus,Rodent,null,Satisfactory,1990,1999,Successful,Whole Island,Toxicant,NA,NA,Unknown,Unknown,Warfarin,NA,null,null,null,35096,Horn Rock,Atlantic Ocean - North,Bermuda,Bermuda (Castle Islands),32.34328463,-64.66621141,0.003362413,None
2135,3186,Brown / Norway Rat,Rattus norvegicus,Rodent,null,Satisfactory,1990,1999,Successful,Whole Island,Toxicant,Unknown,Unknown,Unknown,Unknown,Warfarin,NA,null,null,null,35099,Green Rock,Atlantic Ocean - North,Bermuda,Bermuda (Castle Islands),32.34452035,-64.66098877,0.002313885,None
2136,3187,Black Rat,Rattus rattus,Rodent,null,Satisfactory,1990,1999,Successful,Whole Island,Toxicant,Trapping,Unknown,Unknown,Unknown,Warfarin,NA,null,null,null,35099,Green Rock,Atlantic Ocean - North,Bermuda,Bermuda (Castle Islands),32.34452035,-64.66098877,0.002313885,None
210,263,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2005,2005,Successful,Incursion Response,Toxicant,NA,NA,Bait Station,NA,Unknown,NA,null,null,null,35020,Nonsuch ,Atlantic Ocean - North,Bermuda,Bermuda (Castle Islands),32.34736416,-64.66284194,0.070258988,1-Oct
212,265,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,1985,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Warfarin,Diphacinone,null,null,null,35020,Nonsuch ,Atlantic Ocean - North,Bermuda,Bermuda (Castle Islands),32.34736416,-64.66284194,0.070258988,1-Oct
