Rodent_species,Location,scientificName,min_difference,max_difference,median_difference,cat_arrival
Rattus norvegicus,"Moorea, French Polynesia",Prosobonia ellisi,-146,10,-68,Extinction before or after arrival
Rattus exulans,"Chatham Islands, Newzealand",Anthornis melanocephala,606,637,621.5,Extinction at least 500-999 years after arrival
Rattus rattus,"Chatham Islands, Newzealand",Anthornis melanocephala,37,92,64.5,Extinction within 100 years of arrival
Rattus norvegicus,"Chatham Islands, Newzealand",Anthornis melanocephala,-71,-15,-43,Extinction before arrival
Rattus exulans,"North Island, New Zealand",Turnagra tanagra,702,1869,1285.5,Extinction at least 500-999 years after arrival
Rattus rattus,"North Island, New Zealand",Turnagra tanagra,42,109,75.5,Extinction within 100 years of arrival
Rattus norvegicus,"North Island, New Zealand",Turnagra tanagra,112,179,145.5,Extinction at least 100-499 years after arrival
Rattus exulans,"Chatham Islands, Newzealand",Cabalus modestus,595,600,597.5,Extinction at least 500-999 years after arrival
Rattus rattus,"Chatham Islands, Newzealand",Cabalus modestus,26,55,40.5,Extinction within 100 years of arrival
Rattus norvegicus,"Chatham Islands, Newzealand",Cabalus modestus,-82,-52,-67,Extinction before arrival
Rattus exulans,"Eiao, French Polynesia",Pomarea fluxa,1027,1036,1031.5,"Extinction at least 1,000 years after arrival"
Rattus rattus,"Eiao, French Polynesia",Pomarea fluxa,-23,85,31,Extinction before or after arrival
Rattus rattus,"Nuku Hiva, French Polynesia",Pomarea nukuhivae,1,24,12.5,Extinction within 100 years of arrival
Rattus exulans,"North Island, New Zealand",Coenocorypha barrierensis,670,1770,1220,Extinction at least 500-999 years after arrival
Rattus exulans,Lana'i Hawaii,Dysmorodrepanis munroi,768,768,768,Extinction at least 500-999 years after arrival
Rattus rattus,Lana'i Hawaii,Dysmorodrepanis munroi,39,48,43.5,Extinction within 100 years of arrival
Rattus norvegicus,Lana'i Hawaii,Dysmorodrepanis munroi,140,140,140,Extinction at least 100-499 years after arrival
Rattus rattus,"Ogasawara Islands, Japan",Carpodacus ferreorostris,-97,-73,-85,Extinction before arrival
Rattus norvegicus,"Ogasawara Islands, Japan",Carpodacus ferreorostris,-40,225,92.5,Extinction before or after arrival
Rattus exulans,"Society Islands, French Polynesia",Acrocephalus musae,565,495,530,Extinction at least 500-999 years after arrival
Rattus rattus,"Society Islands, French Polynesia",Acrocephalus musae,-44,157,56.5,Extinction before or after arrival
Rattus norvegicus,"Society Islands, French Polynesia",Acrocephalus musae,-48,158,55,Extinction before or after arrival
Rattus exulans,New Zealand,Chenonetta finschi,50,1760,905,Extinction within 100 years of arrival
Rattus rattus,Mauritius,Columba thiriouxi,133,158,145.5,Extinction at least 100-499 years after arrival
Rattus rattus,Mauritius,Nesoenas cicur,133,158,145.5,Extinction at least 100-499 years after arrival
Rattus rattus,Rodrigues,Nesoenas rodericanus,36,95,65.5,Extinction within 100 years of arrival
Rattus rattus,Rodrigues,Alectroenas payandeei,-89,33,-28,Extinction before or after arrival
Rattus rattus,Reunion,Dryolimnas augusti,5,30,17.5,Extinction within 100 years of arrival
Rattus exulans,"Marquesas, French polynesia",Porphyrio paepae,1987,1987,1987,"Extinction at least 1,000 years after arrival"
Rattus rattus,"Marquesas, French polynesia",Porphyrio paepae,137,342,239.5,Extinction at least 100-499 years after arrival
Rattus norvegicus,"Marquesas, French polynesia",Porphyrio paepae,137,342,239.5,Extinction at least 100-499 years after arrival
Mus musculus,"Marquesas, French polynesia",Porphyrio paepae,137,342,239.5,Extinction at least 100-499 years after arrival
Rattus exulans,New Zealand,Tribonyx hodgenorum,401,1700,1050.5,Extinction at least 100-499 years after arrival
Rattus exulans,"Kiritimati, Kiribati",Prosobonia cancellata,250,659,454.5,Extinction at least 100-499 years after arrival
Rattus rattus,"Kiritimati, Kiribati",Prosobonia cancellata,-131,-122,-126.5,Extinction before arrival
Rattus rattus,"San Cristobal, Galapagos islands",Pyrocephalus dubius,81,189,135,Extinction within 100 years of arrival
Rattus norvegicus,"San Cristobal, Galapagos islands",Pyrocephalus dubius,-4,7,1.5,Extinction before or after arrival
Rattus norvegicus,"Raiatea, French Polynesia",Aplonis ulietensis,-145,82,-31.5,Extinction before or after arrival
